,Mg Loading,K Loading,Ca Loading,Sc Loading,Cr Loading,Mn Loading,Fe Loading,Co Loading,Ni Loading,Cu Loading,Zn Loading,Sr Loading,Y Loading,Mo Loading,Ru Loading,Rh Loading,Pd Loading,In Loading,Hf Loading,W Loading,Re Loading,Os Loading,Ir Loading,Pt Loading,Bi Loading,reactor_number,temperature,space_velocity,group,ammonia_concentration,standard error,n_averaged,n_elements,Atomic Number_wt-mean,Atomic Number_wt-mad,Atomic Volume_wt-mean,Atomic Volume_wt-mad,Atomic Weight_wt-mean,Atomic Weight_wt-mad,Boiling Temperature_wt-mean,Boiling Temperature_wt-mad,Periodic Table Column_wt-mean,Periodic Table Column_wt-mad,Covalent Radius_wt-mean,Covalent Radius_wt-mad,Density_wt-mean,Density_wt-mad,Dipole Polarizability_wt-mean,Dipole Polarizability_wt-mad,Electron Affinity_wt-mean,Electron Affinity_wt-mad,Electronegativity_wt-mean,Electronegativity_wt-mad,Fusion Enthalpy_wt-mean,Fusion Enthalpy_wt-mad,GS Bandgap_wt-mean,GS Bandgap_wt-mad,GS Energy_wt-mean,GS Energy_wt-mad,Heat Capacity (Mass)_wt-mean,Heat Capacity (Mass)_wt-mad,Heat Capacity (Molar)_wt-mean,Heat Capacity (Molar)_wt-mad,Heat Fusion_wt-mean,Heat Fusion_wt-mad,First Ionization Energy_wt-mean,First Ionization Energy_wt-mad,Second Ionization Energy_wt-mean,Second Ionization Energy_wt-mad,Third Ionization Energy_wt-mean,Third Ionization Energy_wt-mad,Fourth Ionization Energy_wt-mean,Fourth Ionization Energy_wt-mad,Fifth Ionization Energy_wt-mean,Fifth Ionization Energy_wt-mad,Sixth Ionization Energy_wt-mean,Sixth Ionization Energy_wt-mad,Seventh Ionization Energy_wt-mean,Seventh Ionization Energy_wt-mad,Eighth Ionization Energy_wt-mean,Eighth Ionization Energy_wt-mad,IsAlkali_wt-mean,IsAlkali_wt-mad,IsDBlock_wt-mean,IsDBlock_wt-mad,IsFBlock_wt-mean,IsFBlock_wt-mad,IsMetal_wt-mean,IsMetal_wt-mad,IsMetalloid_wt-mean,IsMetalloid_wt-mad,IsNonmetal_wt-mean,IsNonmetal_wt-mad,Melting Temperature_wt-mean,Melting Temperature_wt-mad,Mendeleev Number_wt-mean,Mendeleev Number_wt-mad,Number d-shell Unfilled Electrons_wt-mean,Number d-shell Unfilled Electrons_wt-mad,Number d-shell Valance Electrons_wt-mean,Number d-shell Valance Electrons_wt-mad,Number f-shell Unfilled Electrons_wt-mean,Number f-shell Unfilled Electrons_wt-mad,Number f-shell Valance Electrons_wt-mean,Number f-shell Valance Electrons_wt-mad,Number p-shell Unfilled Electrons_wt-mean,Number p-shell Unfilled Electrons_wt-mad,Number p-shell Valance Electrons_wt-mean,Number p-shell Valance Electrons_wt-mad,Number s-shell Unfilled Electrons_wt-mean,Number s-shell Unfilled Electrons_wt-mad,Number s-shell Valance Electrons_wt-mean,Number s-shell Valance Electrons_wt-mad,Number Unfilled Electrons_wt-mean,Number Unfilled Electrons_wt-mad,Number Valence Electrons_wt-mean,Number Valence Electrons_wt-mad,Polarizability_wt-mean,Polarizability_wt-mad,Periodic Table Row_wt-mean,Periodic Table Row_wt-mad,Zunger Pseudopotential (d)_wt-mean,Zunger Pseudopotential (d)_wt-mad,Zunger Pseudopotential (p)_wt-mean,Zunger Pseudopotential (p)_wt-mad,Zunger Pseudopotential (pi)_wt-mean,Zunger Pseudopotential (pi)_wt-mad,Zunger Pseudopotential (s)_wt-mean,Zunger Pseudopotential (s)_wt-mad,Zunger Pseudopotential (sigma)_wt-mean,Zunger Pseudopotential (sigma)_wt-mad,phi_wt-mean,phi_wt-mad,Conductivity_wt-mean,Conductivity_wt-mad,Measured Conversion,Element Dictionary,predictions
39_250_0,0.0,0.12,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,250.0,2083.4313725490197,25.0,1.0687732342007437,0.003192674280875134,3.0,3.0,21.6875,9.479166666666666,60.023772748750005,36.80995034458334,45.941483437500004,23.598283854166656,1488.0625,1336.6041666666667,2.5625,3.729166666666667,187.4375,35.72916666666667,2815.75,4981.083333333333,34.785,19.688333333333333,42.631249999999994,13.69375,1.043125,0.5747916666666667,6.58375,13.941875,0.0,0.0,-3.08917536725,4.66165555325,0.6724375,0.21739583333333332,28.63875,2.431250000000003,6.58375,13.941875,5.109407475,1.7876097416666663,27.7025,9.070833333333333,42.446625,8.271708333333338,55.2825,4.5515624999999975,75.57,4.809374999999996,92.47500000000001,1.7812500000000053,110.5205625,0.7701562499999897,152.62875,18.571875000000002,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,700.1475,939.1075000000001,15.5,29.5,1.125,2.4583333333333335,1.375,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.39583333333333337,1.1875,0.39583333333333326,1.9375,2.1041666666666665,2.5625,3.729166666666667,34.785,19.688333333333333,4.0625,0.3541666666666664,0.34875,0.043749999999999976,1.9343749999999997,0.48395833333333327,0.5221875,0.1986458333333333,1.4121875,0.2853125000000001,3.3465625,0.7692708333333332,2.859375,1.501041666666667,85.651875,35.36687500000001,0.1689670620496785,"dict_items([('Ru', 1.0), ('Mn', 3.0), ('K', 12.0)])",0.17142593195356362
123_250_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,250.0,1829.3480996727922,39.0,1.1228260869565216,0.01268225982288673,3.0,2.0,41.5,2.5,23.290543645,9.722669234999998,94.98792499999999,6.082074999999996,4020.5,402.5,5.5,2.5,168.0,22.0,8421.0,3949.0,16.15,6.55,65.45,35.849999999999994,1.71,0.4900000000000001,24.990000000000002,13.600000000000001,0.0,0.0,-7.8296166725,1.3650168975000003,0.268,0.029999999999999985,25.295,1.2350000000000012,24.990000000000002,13.600000000000001,6.7889,0.5716000000000001,14.492,2.2680000000000007,24.494999999999997,3.9749999999999996,30.2985,0.0,38.5,0.0,46.5,0.0,58.0,0.0,64.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2203.0,404.0,34.0,22.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.5,6.5,2.5,5.5,2.5,16.15,6.55,5.0,0.0,0.515,0.06499999999999997,1.54,0.08000000000000007,0.3075,0.007500000000000007,1.2325,0.08750000000000002,2.7725,0.16749999999999998,4.300000000000001,1.1,67.1,49.9,0.1355362237322355,"dict_items([('Ru', 2.0), ('Y', 2.0)])",0.22999411041818626
113_250_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,250.0,2156.7000000000007,28.0,0.8580586080586085,0.0,3.0,2.0,36.0,8.0,12.254579425,1.3132949849999997,79.8817,21.188299999999998,3804.5,618.5,9.0,1.0,135.0,11.0,10639.0,1731.0,8.2,1.4,106.65,5.350000000000001,2.055,0.14500000000000013,28.035000000000004,10.555000000000001,0.0,0.0,-7.37047907,1.8241545000000001,0.341,0.103,25.064999999999998,1.0050000000000008,28.035000000000004,10.555000000000001,7.50015,0.13965000000000005,17.46442,0.7044199999999989,31.83,3.3599999999999994,27.45,0.0,38.03,0.0,54.0,0.0,66.5,0.0,81.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2167.5,439.5,58.5,2.5,2.5,0.5,7.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.5,3.0,1.0,9.0,1.0,8.2,1.4,4.5,0.5,0.3225,0.1275,1.3399999999999999,0.12,0.2875,0.027499999999999997,1.0525,0.09250000000000003,2.3925,0.2124999999999999,5.300000000000001,0.10000000000000009,103.95,13.049999999999997,0.0,"dict_items([('Ru', 2.0), ('Ni', 2.0)])",0.06795191197124965
61_250_0,0.0,0.12,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,250.0,2271.047227926078,21.0,1.02787456445993,0.01996583961297617,3.0,3.0,23.8125,10.1875,60.992956894375006,33.707998457291666,51.084094500000006,25.384699666666663,1797.25,1675.5833333333335,2.4375,3.0625,190.25,27.75,3147.9375,4868.104166666667,35.335,17.73833333333333,56.425,16.520833333333336,1.1125,0.6250000000000002,9.868125000000001,16.06666666666667,0.0,0.0,-2.93999314725,4.056631306583334,0.647875,0.23299999999999998,28.306250000000002,2.897083333333334,9.868125000000001,16.06666666666667,5.04568435,1.5784649499999999,27.664985625,9.581719374999999,41.23991625,10.96364041666667,50.2755875,5.110381250000008,67.723125,3.6521875000000037,81.46750000000002,4.5825000000000005,96.795,8.303749999999999,126.04124999999999,1.3081250000000093,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,854.585,1142.7116666666666,13.4375,22.145833333333336,1.125,3.5,1.375,2.916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.35416666666666663,1.0625,0.35416666666666663,2.0625,3.1458333333333335,2.4375,3.0625,35.335,17.73833333333333,4.1875,0.39583333333333315,0.38125,0.02291666666666666,1.9818749999999998,0.3864583333333331,0.5359375000000001,0.17322916666666668,1.4459375,0.21322916666666664,3.4278125,0.5996874999999999,2.903125,1.3927083333333334,99.8,29.19583333333333,0.5346154446631376,"dict_items([('Ru', 3.0), ('Sc', 1.0), ('K', 12.0)])",0.3505326648383316
73_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,250.0,1963.0904522613064,38.0,1.089989888776542,0.10380652094305176,4.0,3.0,24.875,13.208333333333332,62.887570635625,27.645686508958335,53.750600000000006,33.06786666666667,1706.75,1433.125,2.375,2.916666666666667,191.8125,23.72916666666666,3125.75,4816.333333333333,35.819375,15.962291666666665,55.608124999999994,14.614791666666664,1.086875,0.5652083333333335,9.451250000000002,15.093958333333337,0.0,0.0,-2.652324429125,3.2904520935833332,0.6315,0.2871666666666667,28.385625000000005,2.6060416666666697,9.451250000000002,15.093958333333337,4.99151935,1.3928375874999999,27.55438125,9.987268749999998,42.37325,7.287416666666672,49.245,1.5884374999999986,66.47,4.493125000000001,80.22500000000001,3.4937500000000083,94.795,4.696250000000001,123.80375,13.235624999999995,0.8125,0.39583333333333337,0.1875,0.39583333333333337,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,806.835,1002.7754166666666,13.25,21.708333333333336,0.5625,1.1875,1.3125,2.770833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.35416666666666663,1.0625,0.35416666666666663,1.5,1.0416666666666665,2.375,2.916666666666667,35.819375,15.962291666666665,4.25,0.5833333333333335,0.4014375,0.10147916666666662,1.998125,0.3268749999999999,0.5396875,0.15947916666666667,1.4584375,0.17385416666666664,3.4565625,0.4994791666666668,2.85,1.26875,101.025,22.254166666666663,0.4710072195886609,"dict_items([('Ru', 3.0), ('Sr', 1.0), ('K', 12.0)])",0.2328177463337987
122_300_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,4.0,300.0,1961.7690021659198,77.0,1.1379310344827585,0.002858065295847171,3.0,2.0,60.5,16.5,13.858212439999999,0.29033803,146.64350000000002,45.57350000000001,4562.0,139.0,8.5,0.5,143.5,2.5,17465.0,5095.0,8.6,1.0,126.15,24.85,2.2,0.0,39.855000000000004,1.264999999999997,0.0,0.0,-9.02157251,0.1730610600000002,0.1845,0.053500000000000006,24.58,0.5200000000000014,39.855000000000004,1.264999999999997,8.16376,0.8032599999999999,8.38,0.0,14.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2673.0,66.0,58.0,2.0,3.0,0.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.5,3.5,0.5,15.5,7.5,8.6,1.0,5.5,0.5,0.488,0.038000000000000006,1.464,0.004000000000000115,0.3115,0.003500000000000003,1.1524999999999999,0.007499999999999951,2.6165000000000003,0.011500000000000066,5.475,0.07499999999999973,132.0,15.0,0.3412047246093068,"dict_items([('Ru', 2.0), ('Ir', 2.0)])",0.2512747573370612
84_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,300.0,2900.6565656565667,46.0,0.95,0.006637987577731028,2.0,3.0,25.625,15.291666666666668,60.48983808625,35.929604707083335,55.594350000000006,38.04495,1657.1875,1557.6875,3.125,4.791666666666667,187.4375,35.72916666666667,3669.4375,6593.604166666666,33.9225,21.3175,52.7,19.287499999999998,1.165,0.8050000000000002,7.301875,14.340833333333332,0.0,0.0,-2.3611521147500003,3.288578538625001,0.628375,0.300625,28.575000000000003,2.5516666666666676,7.301875,14.340833333333332,5.278697475,2.1073797416666666,28.413125,7.728541666666667,42.30825,8.533083333333336,45.6825,0.0,61.995,0.0,74.55000000000001,0.0,88.17,0.0,116.16,0.0,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,758.0943749999999,1048.5627083333334,17.375,33.041666666666664,0.1875,1.0625,2.3125,5.145833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.39583333333333337,0.8125,0.39583333333333337,1.0,0.9583333333333333,3.125,4.791666666666667,33.9225,21.3175,4.25,0.5833333333333335,0.380625,0.031458333333333394,1.9606249999999998,0.43437499999999984,0.5315625,0.1809375,1.4290625000000001,0.2534375,3.3896875,0.6878125000000002,3.046875,1.8552083333333336,97.65,10.037499999999994,0.09868728205311317,"dict_items([('Ru', 1.0), ('Pd', 3.0), ('K', 12.0)])",0.23370754294306
56_300_0,0.0,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,300.0,1934.7254901960791,20.0,1.0728582866293033,0.02241488406054186,3.0,3.0,22.25,9.5,63.949031223750005,27.76394473125,46.967225,23.361849999999997,1546.5,1362.25,2.0,2.75,192.5,24.75,2382.0,4404.5,36.83916666625,14.911944445416665,49.25875,14.08375,1.0150000000000001,0.5400000000000001,7.6425,14.37125,0.0,0.0,-2.216025176625,3.1427589278749997,0.678375,0.208375,28.448625000000003,2.6865416666666673,7.6425,14.37125,4.939704975,1.3977639083333329,27.301465,10.099915,44.2773875,5.862612500000003,54.091249999999995,2.782500000000004,72.5575,0.8050000000000015,88.14750000000001,4.103749999999998,104.07000000000001,4.217499999999996,134.565,3.342499999999994,0.875,0.375,0.125,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,717.6475,948.7349999999999,10.125,20.375,0.375,1.125,0.875,2.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.375,1.125,0.37499999999999994,1.25,1.0,2.0,2.75,36.83916666625,14.911944445416665,4.125,0.3749999999999998,0.37625,0.026250000000000037,2.005,0.3383333333333335,0.541875,0.15895833333333328,1.463125,0.17937500000000003,3.468125,0.5177083333333334,2.68125,1.21875,116.625,38.74999999999999,0.6971633010227691,"dict_items([('Ru', 2.0), ('Ca', 2.0), ('K', 12.0)])",0.5035604022313936
43_300_0,0.0,0.12,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,300.0,1828.5125628140704,24.0,0.9921841076856276,0.025160832542732468,5.0,3.0,24.0,10.625,60.18568355375,36.66800070625,51.52410625,26.411393749999995,1787.3125,1639.1458333333335,2.625,3.625,188.3125,34.85416666666667,3407.625,5517.958333333333,34.9475,19.159166666666668,59.3125,23.25833333333333,1.13125,0.6812500000000002,10.299375000000001,17.117708333333333,0.0,0.0,-3.141255862875,4.794594597208334,0.6404375,0.2543958333333333,28.170625,3.394375000000002,10.299375000000001,17.117708333333333,5.0584981,1.6254487000000002,27.89535625,8.737027083333334,41.627625,9.542041666666668,48.754999999999995,4.7734375,66.33624999999999,5.362499999999996,80.21468125000001,3.5608218750000065,98.18125,17.314375000000002,127.70375,12.114374999999997,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,877.46,1226.5866666666666,15.8125,29.3125,0.875,2.2083333333333335,1.625,3.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.875,2.2083333333333335,2.625,3.625,34.9475,19.159166666666668,4.1875,0.39583333333333315,0.37749999999999995,0.03416666666666669,1.9718749999999998,0.42312499999999986,0.5353125000000001,0.1755208333333333,1.4365625,0.24760416666666668,3.4084375,0.6707291666666666,2.990625,1.6656250000000004,104.84375,4.86458333333333,0.5538515344692592,"dict_items([('Ru', 3.0), ('Cr', 1.0), ('K', 12.0)])",0.4382893317307201
15_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,2092.910447761194,29.0,1.005633802816901,0.06458326213819217,6.0,3.0,24.3125,11.354166666666668,60.1692463325,36.72827051749999,52.245975,28.09575416666666,1803.3125,1697.8125,2.9375,4.770833333333333,187.875,36.45833333333333,3518.875,5925.875,34.606875,20.408125,62.693749999999994,34.77708333333333,1.14625,0.7362500000000001,9.836875000000001,15.993749999999999,0.0,0.0,-2.7771895053750004,3.5818039381666673,0.6364375,0.26906250000000004,28.238750000000003,3.1445833333333355,9.836875000000001,15.993749999999999,5.118489975,1.8454189083333334,28.133275,7.864658333333333,41.9951875,8.194312499999999,49.26875,1.4340625,66.9825,1.1618750000000047,80.98750000000001,1.4624999999999977,96.8575,8.709999999999999,126.535,4.517500000000002,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,826.0706250000001,1047.6585416666667,16.75,32.75,0.5625,1.1875,1.9375,4.770833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5625,1.1875,2.9375,4.770833333333333,34.606875,20.408125,4.1875,0.39583333333333315,0.3734375,0.05718750000000003,1.9587499999999998,0.47125,0.5340625,0.18010416666666668,1.4246875,0.2911458333333334,3.3834375000000003,0.7623958333333335,2.9781250000000004,1.6197916666666672,123.875,107.22916666666666,0.3032333694034347,"dict_items([('Ru', 3.0), ('Cu', 1.0), ('K', 12.0)])",0.5083560146133388
