,Feature Importance
Number Unfilled Electrons,0.09334021622808189
Number d-shell Unfilled Electrons,0.07169382570990251
Re Loading,0.06908906842987714
GS Energy,0.048984672290335415
Y Loading,0.042835176406461374
Zunger Pseudopotential (s),0.04122625490524869
Zunger Pseudopotential (p),0.04089261294216133
Polarizability,0.040449374482366386
Zunger Pseudopotential (sigma),0.04015372384569896
Dipole Polarizability,0.03832797139149093
Third Ionization Energy,0.03737202876572974
Electronegativity,0.029929158138898987
Hf Loading,0.02519163603594424
Covalent Radius,0.020153406178497726
Cr Loading,0.0186385432097578
Conductivity,0.017062711020301116
Heat Capacity (Mass),0.01671787962560635
ammonia,0.016581370065183586
Fourth Ionization Energy,0.015592545293003161
Rh Loading,0.015405425147404665
reactor,0.014152424412833178
Seventh Ionization Energy,0.013813189782817648
Melting Temperature,0.011782588757719549
Zunger Pseudopotential (d),0.01163369996930469
Boiling Temperature,0.01137968800986737
Number p-shell Unfilled Electrons,0.010649129368456814
Atomic Volume,0.010427998723478209
Number p-shell Valance Electrons,0.009942193393890509
Sixth Ionization Energy,0.009795769823422461
Heat Fusion,0.009596758759728864
Heat Capacity (Molar),0.009157703710071591
Periodic Table Column,0.009117476680698905
W Loading,0.008960608110724706
Atomic Weight,0.00881114349270283
In Loading,0.008532876897443906
Atomic Number,0.007909784430817779
Fusion Enthalpy,0.0077363851466463445
Ca Loading,0.006899560506447777
Number Valence Electrons,0.0065019947217294935
Zunger Pseudopotential (pi),0.005581575849417302
Bi Loading,0.005562746901063284
Number s-shell Valance Electrons,0.005183134772848046
Number d-shell Valance Electrons,0.004479037676332647
Sr Loading,0.0042174788236816856
Eighth Ionization Energy,0.004094582165096415
Second Ionization Energy,0.004039112906190638
Electron Affinity,0.00401902591410332
Density,0.0033363198999771726
Zn Loading,0.0033112132777074676
phi,0.0031948964325324365
space,0.0031928984770120085
Periodic Table Row,0.003191718838774266
Number s-shell Unfilled Electrons,0.0030298947277291087
Mendeleev Number,0.0026380742115087318
IsDBlock,0.002544867641107983
First Ionization Energy,0.0024003704405979277
Fifth Ionization Energy,0.0020434995971488046
Mo Loading,0.0019973367337820574
Ni Loading,0.00115947924235026
Number f-shell Valance Electrons,0.0011047786615099348
Pd Loading,0.0009643733400898312
IsAlkali,0.0007739797445002748
Mn Loading,0.0005434459257875418
Ir Loading,0.00045475747412569137
Cu Loading,0.00042551296229964667
Sc Loading,7.731255197098379e-05
Co Loading,0.0
Fe Loading,0.0
IsNonmetal,0.0
Number f-shell Unfilled Electrons,0.0
IsMetalloid,0.0
IsMetal,0.0
IsFBlock,0.0
Ru Loading,0.0
Os Loading,0.0
Pt Loading,0.0
temperature,0.0
GS Bandgap,0.0
K Loading,0.0
n,0.0
Mg Loading,0.0
