,Feature Importance
temperature,0.22574172102219175
Number d-shell Unfilled Electrons,0.08773455978226374
Number Unfilled Electrons,0.06651271225042003
Rh Loading,0.045915884341724
Electronegativity,0.03145822420557907
Zunger Pseudopotential (d),0.030726914329038256
Conductivity,0.02883994624894208
Zunger Pseudopotential (p),0.024895819133171
Number d-shell Valance Electrons,0.023732416293381575
Zunger Pseudopotential (s),0.0221150738463499
Zunger Pseudopotential (sigma),0.02210695846294594
Sr Loading,0.021764819872452063
Seventh Ionization Energy,0.020802946820473688
Dipole Polarizability,0.02073397742398305
Covalent Radius,0.020117580051681096
Polarizability,0.019644921032696504
Third Ionization Energy,0.017599077494997943
space,0.01366359027573101
Sixth Ionization Energy,0.013078364923243714
Boiling Temperature,0.012074467627468211
Heat Capacity (Molar),0.011797553787121407
Re Loading,0.011575671376338937
First Ionization Energy,0.011369357336604437
Fourth Ionization Energy,0.01047384717156738
Heat Capacity (Mass),0.010375007423357296
Atomic Number,0.00996666316817184
Fusion Enthalpy,0.009912973339556123
Atomic Weight,0.009853000957752326
ammonia,0.009624370349755308
Atomic Volume,0.009158100338757408
Density,0.009039028485855654
Mendeleev Number,0.008271495369992407
GS Energy,0.007882425910664858
reactor,0.0078197999044651
Zunger Pseudopotential (pi),0.007760878900633354
phi,0.0071395305615487145
Fifth Ionization Energy,0.007130728678496886
Eighth Ionization Energy,0.006660460781840599
Heat Fusion,0.0064796476486763625
Periodic Table Column,0.0061330560533890055
Melting Temperature,0.005853987912950951
Second Ionization Energy,0.005753711350219104
Number Valence Electrons,0.005187067929182773
Periodic Table Row,0.004975743626225828
Sc Loading,0.004097090963113148
Number s-shell Valance Electrons,0.003578156510150708
Electron Affinity,0.002435036544205535
Ca Loading,0.002334633271378846
Number s-shell Unfilled Electrons,0.0020091618926320635
W Loading,0.0017923724762485657
Number p-shell Unfilled Electrons,0.0017536755466819737
In Loading,0.001676371787201946
Cr Loading,0.00167367438885729
Number f-shell Valance Electrons,0.0015634467451701864
IsDBlock,0.0014533519577926996
Number p-shell Valance Electrons,0.0011535707110436376
Ni Loading,0.0009047091642322948
Ir Loading,0.0007062957865939284
Y Loading,0.0006226174692105191
Zn Loading,0.00047844794050067583
Hf Loading,0.0004697716673281593
IsAlkali,0.0004308371384219087
Bi Loading,0.00038785308403067826
Mo Loading,0.0003802168486293306
Pd Loading,0.0002756294974256076
Mn Loading,0.0002464449184750047
Cu Loading,0.00012254988881645024
IsFBlock,0.0
IsMetal,0.0
Ru Loading,0.0
Co Loading,0.0
IsNonmetal,0.0
Fe Loading,0.0
GS Bandgap,0.0
IsMetalloid,0.0
K Loading,0.0
Os Loading,0.0
Pt Loading,0.0
Number f-shell Unfilled Electrons,0.0
n,0.0
Mg Loading,0.0
