,Feature Importance
Number Unfilled Electrons,0.1106751523285857
Number d-shell Unfilled Electrons,0.08265874453732727
First Ionization Energy,0.08005151032365954
Third Ionization Energy,0.05788557948953799
Electron Affinity,0.04891109657362461
Conductivity,0.04116111974917358
Zunger Pseudopotential (d),0.039345365547224856
Zunger Pseudopotential (s),0.036679058868456
Zunger Pseudopotential (sigma),0.02755360064393897
Rh Loading,0.02376211876189443
Electronegativity,0.02374458593301015
Zunger Pseudopotential (pi),0.022319502400159723
Zunger Pseudopotential (p),0.022170122063526913
Ir Loading,0.020557984416287554
Fourth Ionization Energy,0.02054470154688831
Fifth Ionization Energy,0.019264529395099535
Atomic Number,0.015331541302327185
phi,0.014954274454627037
Dipole Polarizability,0.014851838974860396
Heat Capacity (Mass),0.014462873857329167
reactor,0.014088183713071006
Covalent Radius,0.014029379383515882
Sixth Ionization Energy,0.013900228252403404
Mendeleev Number,0.01376290992140385
Atomic Weight,0.013694755430382816
Number f-shell Valance Electrons,0.013436983280272482
Density,0.012677654713723296
Polarizability,0.011844668963961982
Seventh Ionization Energy,0.011772994088651267
ammonia,0.011305249846602987
Heat Capacity (Molar),0.010888067438651729
Y Loading,0.00885477378954055
Eighth Ionization Energy,0.008650326996129016
Second Ionization Energy,0.008494492458891275
Ca Loading,0.006956299870046345
Periodic Table Row,0.006676301568418
Periodic Table Column,0.006121497660910288
GS Energy,0.006087639701099363
Boiling Temperature,0.006032278297192972
Number Valence Electrons,0.00598858788859602
Fusion Enthalpy,0.005427520193641794
space,0.005247125439520167
Hf Loading,0.004819907837177852
Number s-shell Valance Electrons,0.004291232896164627
Number d-shell Valance Electrons,0.004044576858384393
Re Loading,0.00394330112173302
Heat Fusion,0.0037207750612899652
Sc Loading,0.00365238981686247
Atomic Volume,0.0034240484984381673
In Loading,0.0024602852422266797
Pd Loading,0.0022612864024821153
Mn Loading,0.001987167303709893
Number s-shell Unfilled Electrons,0.001851855860952855
Melting Temperature,0.0017504434467588287
Bi Loading,0.0017279475506236058
Number p-shell Unfilled Electrons,0.0015854265103025283
Number p-shell Valance Electrons,0.0014903355509685954
IsDBlock,0.0008626866029200077
Sr Loading,0.0007227291562899663
Mg Loading,0.0007065439984167657
Zn Loading,0.0006407900938424694
Ni Loading,0.000476139702185496
W Loading,0.00036365147820527826
IsAlkali,0.00035123081987252275
Cu Loading,3.049424740866259e-05
Mo Loading,1.1533878617819143e-05
n,0.0
Cr Loading,0.0
temperature,0.0
Fe Loading,0.0
Co Loading,0.0
IsNonmetal,0.0
Pt Loading,0.0
K Loading,0.0
Os Loading,0.0
IsFBlock,0.0
Ru Loading,0.0
Number f-shell Unfilled Electrons,0.0
IsMetal,0.0
IsMetalloid,0.0
GS Bandgap,0.0
