,Feature Importance
Mg Loading,0.0004732645929524179
K Loading,0.0
Ca Loading,0.003954873741900202
Sc Loading,0.0017761999857000806
Cr Loading,0.00763513676391241
Mn Loading,0.007269017152357067
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.00012885324323289661
Cu Loading,0.0007175088248420744
Zn Loading,0.0016303060966295756
Sr Loading,0.0035900070630546775
Y Loading,0.0008654580182434602
Mo Loading,0.00029953028904469546
Ru Loading,0.0
Rh Loading,0.0347226948704728
Pd Loading,0.0009735263343265786
In Loading,0.0015530119954643023
Hf Loading,0.0008382475808202622
W Loading,0.00024547790344471305
Re Loading,0.002414978473777544
Os Loading,0.0
Ir Loading,0.011444183854567398
Pt Loading,0.0
Bi Loading,0.001614973895769747
reactor_number,0.007121588012518708
temperature,0.2835644668039458
space_velocity,0.001996111190935
ammonia_concentration,0.01672133275567722
n_elements,0.0
Atomic Number_wt-mean,0.004834086984130341
Atomic Number_wt-mad,0.006085553294851564
Atomic Volume_wt-mean,0.003754842428743682
Atomic Volume_wt-mad,0.004186756621940317
Atomic Weight_wt-mean,0.005599786396555059
Atomic Weight_wt-mad,0.005053118684483129
Boiling Temperature_wt-mean,0.004181511808051575
Boiling Temperature_wt-mad,0.010148004307530857
Periodic Table Column_wt-mean,0.002166083455392427
Periodic Table Column_wt-mad,0.0014245055337921686
Covalent Radius_wt-mean,0.019383186100437474
Covalent Radius_wt-mad,0.0319085203044261
Density_wt-mean,0.0038477372288632716
Density_wt-mad,0.0035264239664317522
Dipole Polarizability_wt-mean,0.01964064289920006
Dipole Polarizability_wt-mad,0.013761921883957145
Electron Affinity_wt-mean,0.007827806610307918
Electron Affinity_wt-mad,0.009409358451145376
Electronegativity_wt-mean,0.00410167713031529
Electronegativity_wt-mad,0.003990180202889379
Fusion Enthalpy_wt-mean,0.002821280764017432
Fusion Enthalpy_wt-mad,0.0015259660265203492
GS Bandgap_wt-mean,0.0
GS Bandgap_wt-mad,0.0
GS Energy_wt-mean,0.006585720147839713
GS Energy_wt-mad,0.0026545486382436516
Heat Capacity (Mass)_wt-mean,0.01226332231520235
Heat Capacity (Mass)_wt-mad,0.01339477698451392
Heat Capacity (Molar)_wt-mean,0.0035302003872647253
Heat Capacity (Molar)_wt-mad,0.002879827077412499
Heat Fusion_wt-mean,0.0013026682802944262
Heat Fusion_wt-mad,0.0009599412674374322
First Ionization Energy_wt-mean,0.010378047565388451
First Ionization Energy_wt-mad,0.011370258832691847
Second Ionization Energy_wt-mean,0.005273468062533437
Second Ionization Energy_wt-mad,0.0030294953596957425
Third Ionization Energy_wt-mean,0.006156322167837011
Third Ionization Energy_wt-mad,0.00918593899111381
Fourth Ionization Energy_wt-mean,0.0036426177319141924
Fourth Ionization Energy_wt-mad,0.002194941826104875
Fifth Ionization Energy_wt-mean,0.008060000457001459
Fifth Ionization Energy_wt-mad,0.005234901780334089
Sixth Ionization Energy_wt-mean,0.005864510308156031
Sixth Ionization Energy_wt-mad,0.007413317222836986
Seventh Ionization Energy_wt-mean,0.001893144635782411
Seventh Ionization Energy_wt-mad,0.009011145889670284
Eighth Ionization Energy_wt-mean,0.005031400410528639
Eighth Ionization Energy_wt-mad,0.0037061109825446757
IsAlkali_wt-mean,0.0017972637725021292
IsAlkali_wt-mad,0.0016761841519728267
IsDBlock_wt-mean,0.0006741540225079068
IsDBlock_wt-mad,0.001853285368434924
IsFBlock_wt-mean,0.0
IsFBlock_wt-mad,0.0
IsMetal_wt-mean,0.0
IsMetal_wt-mad,0.0
IsMetalloid_wt-mean,0.0
IsMetalloid_wt-mad,0.0
IsNonmetal_wt-mean,0.0
IsNonmetal_wt-mad,0.0
Melting Temperature_wt-mean,0.0015858711962105781
Melting Temperature_wt-mad,0.0010259674336677053
Mendeleev Number_wt-mean,0.013971531778389881
Mendeleev Number_wt-mad,0.01608589693682832
Number d-shell Unfilled Electrons_wt-mean,0.019341227980468605
Number d-shell Unfilled Electrons_wt-mad,0.01657110806242422
Number d-shell Valance Electrons_wt-mean,0.00327151056758486
Number d-shell Valance Electrons_wt-mad,0.0024069219814221786
Number f-shell Unfilled Electrons_wt-mean,0.0
Number f-shell Unfilled Electrons_wt-mad,0.0
Number f-shell Valance Electrons_wt-mean,0.0023468416981153625
Number f-shell Valance Electrons_wt-mad,0.0032989230795880246
Number p-shell Unfilled Electrons_wt-mean,0.0003474472574673182
Number p-shell Unfilled Electrons_wt-mad,0.0007286649035781357
Number p-shell Valance Electrons_wt-mean,0.0010085655980740904
Number p-shell Valance Electrons_wt-mad,0.0007411645597961603
Number s-shell Unfilled Electrons_wt-mean,0.000609278134476516
Number s-shell Unfilled Electrons_wt-mad,0.0007742546208422045
Number s-shell Valance Electrons_wt-mean,0.0009927020983371612
Number s-shell Valance Electrons_wt-mad,0.0008498906758632577
Number Unfilled Electrons_wt-mean,0.009517165168157461
Number Unfilled Electrons_wt-mad,0.013814812563288353
Number Valence Electrons_wt-mean,0.0039298589918475325
Number Valence Electrons_wt-mad,0.0029373918937697346
Polarizability_wt-mean,0.021022108407949797
Polarizability_wt-mad,0.016351250133586747
Periodic Table Row_wt-mean,0.007767563183160711
Periodic Table Row_wt-mad,0.002460944640359047
Zunger Pseudopotential (d)_wt-mean,0.017249485850682592
Zunger Pseudopotential (d)_wt-mad,0.012078181118504085
Zunger Pseudopotential (p)_wt-mean,0.0075981150291053855
Zunger Pseudopotential (p)_wt-mad,0.014327425103879562
Zunger Pseudopotential (pi)_wt-mean,0.006297653601732284
Zunger Pseudopotential (pi)_wt-mad,0.006858214847729955
Zunger Pseudopotential (s)_wt-mean,0.016905419381211696
Zunger Pseudopotential (s)_wt-mad,0.009759650927239301
Zunger Pseudopotential (sigma)_wt-mean,0.008015371985681507
Zunger Pseudopotential (sigma)_wt-mad,0.009168479002297343
phi_wt-mean,0.0020866052771462227
phi_wt-mad,0.003548093228570448
Conductivity_wt-mean,0.009216403011923786
Conductivity_wt-mad,0.005384822923709328
