,Feature Importance
temperature,0.3397763519530249
Rh Loading,0.0705189727479013
Covalent Radius,0.04964097351994159
Number Unfilled Electrons,0.046317858412712284
Heat Capacity (Mass),0.03727173255369665
Polarizability,0.031799289551730385
Dipole Polarizability,0.029723963661986263
Mendeleev Number,0.023726434246530925
Atomic Weight,0.021178795732499874
Atomic Number,0.02105547143547207
Periodic Table Row,0.020483744061515232
Number d-shell Unfilled Electrons,0.01988080376821206
Conductivity,0.019522678285742185
Zunger Pseudopotential (sigma),0.018154093205730665
Electronegativity,0.017691485432603685
Zunger Pseudopotential (d),0.014113575596851897
Third Ionization Energy,0.011792857147382966
First Ionization Energy,0.011409001986134199
Electron Affinity,0.010497054502313256
Second Ionization Energy,0.010212149797401204
Zunger Pseudopotential (s),0.009873651822532416
Eighth Ionization Energy,0.009647011933212532
ammonia,0.009050449317267424
Zunger Pseudopotential (p),0.008856230690548597
Number Valence Electrons,0.008054948998663884
Cu Loading,0.007459224067160649
Seventh Ionization Energy,0.007378368970619444
Boiling Temperature,0.006673362527963161
Sixth Ionization Energy,0.006140329917162919
space,0.006130815428803931
Number f-shell Valance Electrons,0.0054765555570670515
Mn Loading,0.00539929842814791
Fifth Ionization Energy,0.005356379037975735
Density,0.005223543537626635
Zunger Pseudopotential (pi),0.005211962858185468
Ir Loading,0.005175070115517776
Cr Loading,0.0048446332317685255
Heat Capacity (Molar),0.004627928350130818
Fourth Ionization Energy,0.0045677342446940545
Number d-shell Valance Electrons,0.004251252711577593
Ca Loading,0.004182701837712929
reactor,0.003995438713786322
Atomic Volume,0.003951196888508226
GS Energy,0.003237447414030622
phi,0.0031603454668824235
Sr Loading,0.003004067467342125
Zn Loading,0.0026962327389280895
Ni Loading,0.00265080384526335
Periodic Table Column,0.0026227454590082586
Re Loading,0.0021318897245459797
Sc Loading,0.0018035253659848208
Heat Fusion,0.0016887337518568084
Melting Temperature,0.0015965768178866195
Fusion Enthalpy,0.0015759799201757792
IsAlkali,0.0013092819246321233
Number s-shell Valance Electrons,0.001280578622964717
Number s-shell Unfilled Electrons,0.0011891023161538917
IsDBlock,0.0006638385294781073
Number p-shell Valance Electrons,0.0006539384298451299
Y Loading,0.0005120904580153562
Number p-shell Unfilled Electrons,0.00043448517323891787
In Loading,0.00042582528433124476
Pd Loading,0.0003850314193227795
Bi Loading,0.00028772302507319643
Mo Loading,0.00016830016624003207
W Loading,9.873239762756315e-05
Mg Loading,7.332285726863997e-05
Hf Loading,5.4024637885837104e-05
Fe Loading,0.0
Co Loading,0.0
Ru Loading,0.0
IsNonmetal,0.0
GS Bandgap,0.0
IsFBlock,0.0
IsMetal,0.0
IsMetalloid,0.0
Pt Loading,0.0
Number f-shell Unfilled Electrons,0.0
n,0.0
K Loading,0.0
Os Loading,0.0
