,Feature Importance
Mg Loading,1.279821971412066e-05
K Loading,0.0
Ca Loading,0.00018657211531081325
Sc Loading,0.00018657211531081325
Cr Loading,9.12651175063124e-06
Mn Loading,0.009943702519111303
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.001877702634106815
Cu Loading,0.00015670661514914793
Zn Loading,0.0015641643091374208
Sr Loading,0.0010027481069653432
Y Loading,0.0
Mo Loading,0.0019627943397549303
Ru Loading,0.0
Rh Loading,0.0
Pd Loading,0.008826889470267975
In Loading,0.0022698379560504604
Hf Loading,0.0
W Loading,0.0010912031182944172
Re Loading,0.0010094215988866507
Os Loading,0.0
Ir Loading,0.07771932186365191
Pt Loading,0.0
Bi Loading,0.0024376651549543778
reactor_number,0.017799004530256162
temperature,0.0
space_velocity,0.002772397475493257
ammonia_concentration,0.004790145514850731
n_elements,0.0
Atomic Number_wt-mean,0.01167776628055136
Atomic Number_wt-mad,0.010128297398747986
Atomic Volume_wt-mean,0.0018897980620747876
Atomic Volume_wt-mad,0.002662721595117906
Atomic Weight_wt-mean,0.013433062651303215
Atomic Weight_wt-mad,0.0162691016351911
Boiling Temperature_wt-mean,0.006536308683632567
Boiling Temperature_wt-mad,0.008597699954211878
Periodic Table Column_wt-mean,0.0017417109239697046
Periodic Table Column_wt-mad,0.001987347893959495
Covalent Radius_wt-mean,0.008034656996591474
Covalent Radius_wt-mad,0.007807317921085209
Density_wt-mean,0.004323863240194508
Density_wt-mad,0.009166640639387437
Dipole Polarizability_wt-mean,0.011732385800224152
Dipole Polarizability_wt-mad,0.006709755681183685
Electron Affinity_wt-mean,0.016355937701446534
Electron Affinity_wt-mad,0.014071310386054508
Electronegativity_wt-mean,0.018480354429207656
Electronegativity_wt-mad,0.015394674082737328
Fusion Enthalpy_wt-mean,0.0006339499806955152
Fusion Enthalpy_wt-mad,0.0016259558242578763
GS Bandgap_wt-mean,0.0
GS Bandgap_wt-mad,0.0
GS Energy_wt-mean,0.002810851893627699
GS Energy_wt-mad,0.0026249523713385093
Heat Capacity (Mass)_wt-mean,0.024732223863342395
Heat Capacity (Mass)_wt-mad,0.008798537368239063
Heat Capacity (Molar)_wt-mean,0.008819212194759627
Heat Capacity (Molar)_wt-mad,0.01139963368528494
