,Feature Importance
Heat Capacity (Mass),0.13804846424922246
Electronegativity,0.11555141104720651
Atomic Number,0.0774807120857647
Mendeleev Number,0.04816613227518682
Periodic Table Row,0.04657955615208295
Density,0.044110615328710405
Atomic Weight,0.042772716745005435
Fifth Ionization Energy,0.04047112166303493
Conductivity,0.04011694901069672
Covalent Radius,0.034617315364140644
Second Ionization Energy,0.033174600687727075
space,0.02144585229766376
Eighth Ionization Energy,0.021030769177104267
Dipole Polarizability,0.020321995955075577
Ni Loading,0.019668120681339957
Polarizability,0.018303785913955643
Zunger Pseudopotential (sigma),0.0178238957130338
Zunger Pseudopotential (s),0.01627104994729417
Cu Loading,0.015447866393852806
Seventh Ionization Energy,0.014768969021765433
Third Ionization Energy,0.012661416734821246
Number Unfilled Electrons,0.012565570104829449
Sc Loading,0.012126637960950225
Zunger Pseudopotential (p),0.010406699431595006
Number d-shell Unfilled Electrons,0.010250778878829803
Number f-shell Valance Electrons,0.00899848569309172
Electron Affinity,0.008681557126456473
Zunger Pseudopotential (d),0.008647816878553524
Sixth Ionization Energy,0.008084614344795524
GS Energy,0.007083698777791809
IsAlkali,0.005815425347449871
Zn Loading,0.0052775274801623254
Boiling Temperature,0.00486595642533456
Zunger Pseudopotential (pi),0.004774627240245517
Heat Capacity (Molar),0.004554803242493128
Ca Loading,0.004432056336798772
Sr Loading,0.004408549453856151
Re Loading,0.004349224631420175
Atomic Volume,0.004097244722676486
phi,0.003827147585033327
reactor,0.0034830842921654403
Number Valence Electrons,0.0034262248759963343
Periodic Table Column,0.003137669655041047
First Ionization Energy,0.003099546559307141
Heat Fusion,0.002977530991680826
Number p-shell Valance Electrons,0.001961397614437055
Number d-shell Valance Electrons,0.001372296587003753
Fourth Ionization Energy,0.0011975011417759425
Fusion Enthalpy,0.001187580199486146
Number p-shell Unfilled Electrons,0.001086388236687724
Mn Loading,0.0010191632670243618
ammonia,0.0009643646025756682
Melting Temperature,0.0009361824680417818
Number s-shell Unfilled Electrons,0.0005062904666275826
Number s-shell Valance Electrons,0.00045528283803720137
Mo Loading,0.0004386243733043145
Ir Loading,0.0003284476356849978
IsDBlock,0.00011495714481396349
Pd Loading,7.525512018049649e-05
In Loading,7.525512018049648e-05
W Loading,7.106977381214275e-05
Mg Loading,4.148929086437531e-06
Pt Loading,0.0
Rh Loading,0.0
Cr Loading,0.0
n,0.0
Fe Loading,0.0
Co Loading,0.0
Y Loading,0.0
temperature,0.0
Ru Loading,0.0
Bi Loading,0.0
Os Loading,0.0
IsFBlock,0.0
IsMetal,0.0
IsMetalloid,0.0
Hf Loading,0.0
IsNonmetal,0.0
K Loading,0.0
Number f-shell Unfilled Electrons,0.0
GS Bandgap,0.0
