,Feature Importance
Mg Loading,8.021268336508255e-06
K Loading,0.0
Ca Loading,0.006020626502631258
Sc Loading,0.0016185220397804754
Cr Loading,0.008704267769962004
Mn Loading,0.008245449553313931
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.005821539922095616
Cu Loading,0.011022113711722846
Zn Loading,0.0015591573480995742
Sr Loading,0.0006799171525740549
Y Loading,0.0
Mo Loading,0.0007424417566704357
Ru Loading,0.0
Rh Loading,0.0
Pd Loading,0.0007253162881139798
In Loading,0.001060548590982777
Hf Loading,0.0
W Loading,0.00010476146652421925
Re Loading,0.003528895818274337
Os Loading,0.0
Ir Loading,0.010394712314302026
Pt Loading,0.0
Bi Loading,0.0005955580148578682
reactor_number,0.006626816975810804
temperature,0.2876128375572041
space_velocity,0.01319404355758446
ammonia_concentration,0.008070174861047035
n_elements,0.0
Atomic Number_wt-mean,0.01777930730906082
Atomic Number_wt-mad,0.011488520228837711
Atomic Volume_wt-mean,0.002508760218656467
Atomic Volume_wt-mad,0.0031445288081249994
Atomic Weight_wt-mean,0.01097965367561807
Atomic Weight_wt-mad,0.010230158942806915
Boiling Temperature_wt-mean,0.003159646738792181
Boiling Temperature_wt-mad,0.0016937200491652304
Periodic Table Column_wt-mean,0.00281613188370313
Periodic Table Column_wt-mad,0.0013359982696187873
Covalent Radius_wt-mean,0.015496488427047024
Covalent Radius_wt-mad,0.010316851608473065
Density_wt-mean,0.010825246070216754
Density_wt-mad,0.015685041510096132
Dipole Polarizability_wt-mean,0.012523253924833302
Dipole Polarizability_wt-mad,0.007197441783435132
Electron Affinity_wt-mean,0.004553361250632361
Electron Affinity_wt-mad,0.006587472951943055
Electronegativity_wt-mean,0.01628823362529874
Electronegativity_wt-mad,0.03126012944307448
Fusion Enthalpy_wt-mean,0.0008798455935466633
Fusion Enthalpy_wt-mad,0.0013596925865497814
GS Bandgap_wt-mean,0.0
GS Bandgap_wt-mad,0.0
GS Energy_wt-mean,0.0025053135983340875
GS Energy_wt-mad,0.0031281292075419974
Heat Capacity (Mass)_wt-mean,0.028535692227528216
Heat Capacity (Mass)_wt-mad,0.03378437558145353
Heat Capacity (Molar)_wt-mean,0.0034012918244499513
