,Mg Loading,K Loading,Ca Loading,Sc Loading,Cr Loading,Mn Loading,Fe Loading,Co Loading,Ni Loading,Cu Loading,Zn Loading,Sr Loading,Y Loading,Mo Loading,Ru Loading,Rh Loading,Pd Loading,In Loading,Hf Loading,W Loading,Re Loading,Os Loading,Ir Loading,Pt Loading,Bi Loading,reactor_number,temperature,space_velocity,group,ammonia_concentration,standard error,n_averaged,n_elements,Atomic Number_wt-mean,Atomic Number_wt-mad,Atomic Volume_wt-mean,Atomic Volume_wt-mad,Atomic Weight_wt-mean,Atomic Weight_wt-mad,Boiling Temperature_wt-mean,Boiling Temperature_wt-mad,Periodic Table Column_wt-mean,Periodic Table Column_wt-mad,Covalent Radius_wt-mean,Covalent Radius_wt-mad,Density_wt-mean,Density_wt-mad,Dipole Polarizability_wt-mean,Dipole Polarizability_wt-mad,Electron Affinity_wt-mean,Electron Affinity_wt-mad,Electronegativity_wt-mean,Electronegativity_wt-mad,Fusion Enthalpy_wt-mean,Fusion Enthalpy_wt-mad,GS Bandgap_wt-mean,GS Bandgap_wt-mad,GS Energy_wt-mean,GS Energy_wt-mad,Heat Capacity (Mass)_wt-mean,Heat Capacity (Mass)_wt-mad,Heat Capacity (Molar)_wt-mean,Heat Capacity (Molar)_wt-mad,Heat Fusion_wt-mean,Heat Fusion_wt-mad,First Ionization Energy_wt-mean,First Ionization Energy_wt-mad,Second Ionization Energy_wt-mean,Second Ionization Energy_wt-mad,Third Ionization Energy_wt-mean,Third Ionization Energy_wt-mad,Fourth Ionization Energy_wt-mean,Fourth Ionization Energy_wt-mad,Fifth Ionization Energy_wt-mean,Fifth Ionization Energy_wt-mad,Sixth Ionization Energy_wt-mean,Sixth Ionization Energy_wt-mad,Seventh Ionization Energy_wt-mean,Seventh Ionization Energy_wt-mad,Eighth Ionization Energy_wt-mean,Eighth Ionization Energy_wt-mad,IsAlkali_wt-mean,IsAlkali_wt-mad,IsDBlock_wt-mean,IsDBlock_wt-mad,IsFBlock_wt-mean,IsFBlock_wt-mad,IsMetal_wt-mean,IsMetal_wt-mad,IsMetalloid_wt-mean,IsMetalloid_wt-mad,IsNonmetal_wt-mean,IsNonmetal_wt-mad,Melting Temperature_wt-mean,Melting Temperature_wt-mad,Mendeleev Number_wt-mean,Mendeleev Number_wt-mad,Number d-shell Unfilled Electrons_wt-mean,Number d-shell Unfilled Electrons_wt-mad,Number d-shell Valence Electrons_wt-mean,Number d-shell Valence Electrons_wt-mad,Number f-shell Unfilled Electrons_wt-mean,Number f-shell Unfilled Electrons_wt-mad,Number f-shell Valence Electrons_wt-mean,Number f-shell Valence Electrons_wt-mad,Number p-shell Unfilled Electrons_wt-mean,Number p-shell Unfilled Electrons_wt-mad,Number p-shell Valence Electrons_wt-mean,Number p-shell Valence Electrons_wt-mad,Number s-shell Unfilled Electrons_wt-mean,Number s-shell Unfilled Electrons_wt-mad,Number s-shell Valence Electrons_wt-mean,Number s-shell Valence Electrons_wt-mad,Number Unfilled Electrons_wt-mean,Number Unfilled Electrons_wt-mad,Number Valence Electrons_wt-mean,Number Valence Electrons_wt-mad,Polarizability_wt-mean,Polarizability_wt-mad,Periodic Table Row_wt-mean,Periodic Table Row_wt-mad,Zunger Pseudopotential (d)_wt-mean,Zunger Pseudopotential (d)_wt-mad,Zunger Pseudopotential (p)_wt-mean,Zunger Pseudopotential (p)_wt-mad,Zunger Pseudopotential (pi)_wt-mean,Zunger Pseudopotential (pi)_wt-mad,Zunger Pseudopotential (s)_wt-mean,Zunger Pseudopotential (s)_wt-mad,Zunger Pseudopotential (sigma)_wt-mean,Zunger Pseudopotential (sigma)_wt-mad,phi_wt-mean,phi_wt-mad,Conductivity_wt-mean,Conductivity_wt-mad,Measured Conversion,Element Dictionary,predictions
62_250_0,0.0,0.12,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,250.0,2552.3503737520696,21.0,1.0,0.004292255500816678,3.0,3.0,22.375,9.625,61.70804667625001,32.99290867541667,47.576964000000004,23.971588999999994,1714.75,1593.0833333333335,2.125,2.875,191.75,26.25,2561.375,4583.875,35.8475,17.22583333333333,51.224999999999994,16.050000000000004,1.06,0.5850000000000002,8.3375,15.06625,0.0,0.0,-2.75817311725,3.8748112765833342,0.6685,0.21825,28.3975,2.805833333333334,8.3375,15.06625,4.995746225,1.5285268249999997,27.41747125,9.829233749999998,41.0078325,11.195724166666672,54.868674999999996,5.503487500000007,73.45125,3.933125000000004,88.38500000000002,4.9350000000000005,105.42,8.942499999999999,135.92249999999999,1.4087500000000084,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,805.0225,1093.1491666666666,10.625,20.875,1.5,3.75,1.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.375,1.125,0.37499999999999994,2.375,3.375,2.125,2.875,35.8475,17.22583333333333,4.125,0.3749999999999998,0.37249999999999994,0.022499999999999992,1.9862499999999998,0.3820833333333331,0.535625,0.17354166666666668,1.450625,0.20854166666666665,3.436875,0.590625,2.76875,1.3062500000000001,93.475,30.699999999999996,0.2498184686936457,"dict_items([('Ru', 2.0), ('Sc', 2.0), ('K', 12.0)])",0.19018837308512537
89_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,9.0,300.0,2537.039800995025,77.0,1.0,0.00956599523846649,2.0,3.0,29.375,24.875,60.35045162,36.160630473333335,65.9846,65.165975,1914.5,2059.1666666666665,2.875,4.375,188.125,34.70833333333333,5008.25,9688.583333333334,34.5725,20.200833333333332,67.8375,45.354166666666664,1.165,0.8050000000000002,11.715000000000002,21.886666666666663,0.0,0.0,-3.0785479122500004,4.622352464916667,0.613875,0.33395833333333336,28.345000000000002,2.928333333333336,11.715000000000002,21.886666666666663,5.296437475,2.230139741666666,25.8175,6.505624999999998,37.913250000000005,7.5845,45.6825,0.0,61.995,0.0,74.55000000000001,0.0,88.17,0.0,116.16,0.0,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,920.6475,1362.9408333333333,16.75,32.083333333333336,0.75,1.75,1.75,4.083333333333333,0.0,0.0,1.75,5.25,0.0,0.0,0.0,0.0,0.875,0.375,1.125,0.37499999999999994,1.625,1.4583333333333335,4.625,9.125,34.5725,20.200833333333332,4.375,0.875,0.39949999999999997,0.06883333333333336,1.9785,0.40016666666666667,0.535375,0.17412499999999997,1.443125,0.22604166666666678,3.421625,0.6262083333333333,3.05625,1.8812499999999996,109.875,18.500000000000004,0.3002245046807015,"dict_items([('Ru', 2.0), ('Ir', 2.0), ('K', 12.0)])",0.5304650294544451
38_350_0,0.0,0.12,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,2055.1732673267325,25.0,1.0,0.010652833680038162,3.0,3.0,22.875,10.125,60.108470870000005,36.725252223333335,48.824730625,25.21935562499999,1618.625,1434.375,2.625,3.791666666666667,187.875,35.29166666666667,3122.0,5287.333333333333,34.7975,19.67583333333333,48.9625,13.7875,1.08375,0.6154166666666667,8.18875,14.9175,0.0,0.0,-3.1000546372500004,4.67253482325,0.6573749999999999,0.23245833333333332,28.497500000000002,2.572500000000003,8.18875,14.9175,5.104812475,1.7830147416666664,27.7725,9.000833333333333,42.12175,8.596583333333339,52.082499999999996,4.248124999999997,71.045,4.488749999999996,86.50000000000001,1.662500000000005,103.070375,0.7188124999999896,140.4725,17.333750000000002,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,768.1475,1007.1075000000001,15.75,29.75,1.0,2.3333333333333335,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.375,1.125,0.37499999999999994,1.875,2.0416666666666665,2.625,3.791666666666667,34.7975,19.67583333333333,4.125,0.3749999999999998,0.3625,0.04249999999999997,1.9487499999999998,0.4695833333333333,0.526875,0.1939583333333333,1.421875,0.2756250000000001,3.370625,0.7452083333333333,2.91875,1.5604166666666672,92.47625,33.696250000000006,0.9683237608272242,"dict_items([('Ru', 2.0), ('Mn', 2.0), ('K', 12.0)])",0.7139902241394667
86_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,250.0,2111.275,42.0,1.0,0.0,4.0,3.0,25.0,14.0,60.5194928975,35.76620082583333,53.952475,34.659741666666655,1940.875,2120.7083333333335,2.5,3.5,189.75,30.91666666666667,3473.25,6106.916666666667,35.2225,18.684166666666666,57.949999999999996,22.77499999999999,1.1600000000000001,0.7933333333333334,11.26,20.824999999999996,0.0,0.0,-3.3282474522500003,5.204984724916667,0.628875,0.2989583333333333,28.215000000000003,3.2316666666666682,11.26,20.824999999999996,5.062113725000001,1.683384325,27.8375,8.849166666666665,41.304500000000004,10.503500000000004,51.482499999999995,6.348124999999997,68.80624999999999,12.324374999999996,83.15345,13.375425000000005,103.878,3.545499999999995,134.10999999999999,4.934999999999992,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,940.2725,1408.7325,15.5,29.166666666666664,1.0,2.3333333333333335,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.3333333333333335,2.5,3.5,35.2225,18.684166666666666,4.25,0.5833333333333335,0.39499999999999996,0.058333333333333355,1.9825,0.39083333333333337,0.531875,0.18229166666666666,1.450625,0.20854166666666665,3.433125,0.5993749999999998,2.94375,1.6187500000000004,108.75,15.125000000000004,0.06999999999999995,"dict_items([('Ru', 2.0), ('Mo', 2.0), ('K', 12.0)])",0.24687947029077223
62_300_0,0.0,0.12,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,300.0,2552.3503737520696,21.0,1.0,0.0027616933079143372,3.0,3.0,22.375,9.625,61.70804667625001,32.99290867541667,47.576964000000004,23.971588999999994,1714.75,1593.0833333333335,2.125,2.875,191.75,26.25,2561.375,4583.875,35.8475,17.22583333333333,51.224999999999994,16.050000000000004,1.06,0.5850000000000002,8.3375,15.06625,0.0,0.0,-2.75817311725,3.8748112765833342,0.6685,0.21825,28.3975,2.805833333333334,8.3375,15.06625,4.995746225,1.5285268249999997,27.41747125,9.829233749999998,41.0078325,11.195724166666672,54.868674999999996,5.503487500000007,73.45125,3.933125000000004,88.38500000000002,4.9350000000000005,105.42,8.942499999999999,135.92249999999999,1.4087500000000084,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,805.0225,1093.1491666666666,10.625,20.875,1.5,3.75,1.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.375,1.125,0.37499999999999994,2.375,3.375,2.125,2.875,35.8475,17.22583333333333,4.125,0.3749999999999998,0.37249999999999994,0.022499999999999992,1.9862499999999998,0.3820833333333331,0.535625,0.17354166666666668,1.450625,0.20854166666666665,3.436875,0.590625,2.76875,1.3062500000000001,93.475,30.699999999999996,0.5750757244971116,"dict_items([('Ru', 2.0), ('Sc', 2.0), ('K', 12.0)])",0.6908207957673631
34_300_0,0.02,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,300.0,2304.8250000000007,12.0,1.0,0.014032534818463048,6.0,3.0,21.25,8.5,61.484669448750005,33.51412220625,44.9956,21.390224999999994,1497.25,1313.0,2.0,2.75,188.125,34.70833333333333,2405.5,4428.0,34.968333333749996,19.27722222125,48.9625,13.7875,1.05375,0.5787500000000001,7.635000000000001,14.363750000000001,0.0,0.0,-2.16526801975,3.0920017709999996,0.725375,0.16137500000000002,28.316125000000003,2.995708333333335,7.635000000000001,14.363750000000001,5.13133935,1.8449107833333338,27.69690875,9.177212916666665,47.9312125,10.709637499999996,59.3406875,21.155531250000003,79.65375,25.641875000000006,97.89500000000001,38.219999999999985,116.2975,47.013750000000016,149.405,48.5975,0.875,0.375,0.125,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,693.6475,924.7349999999999,17.75,34.416666666666664,0.375,1.125,0.875,2.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.375,1.125,0.37499999999999994,1.25,1.0,2.0,2.75,34.968333333749996,19.27722222125,4.0,0.25,0.33375,0.035000000000000024,1.9362499999999998,0.4987499999999999,0.525625,0.196875,1.410625,0.301875,3.346875,0.800625,2.79375,1.3312500000000003,111.0,21.875000000000004,0.3723203416222237,"dict_items([('Ru', 2.0), ('Mg', 2.0), ('K', 12.0)])",0.39265848359614886
77_350_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,10.0,350.0,2433.2000000000007,83.0,1.0,0.011214964015254998,3.0,3.0,30.125,27.125,63.01731519625,29.937948795416663,68.080025,71.45224999999999,1556.5,1372.25,3.625,6.125,189.0,32.66666666666667,3410.75,5961.083333333333,33.6725,22.30083333333333,60.3625,27.912499999999998,1.1425,0.7525000000000003,7.96325,14.692,0.0,0.0,-2.469195781,3.3959295322500003,0.61275,0.33658333333333335,28.3975,2.805833333333334,7.96325,14.692,5.086247475,1.7396964083333333,27.905375,8.690791666666666,41.10825,10.961416666666667,51.345,6.829375,68.995,11.663749999999999,85.5875,4.856250000000008,88.17,0.0,116.16,0.0,0.75,0.5833333333333334,0.125,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,646.3225,877.4100000000001,20.0,39.666666666666664,0.375,1.125,2.125,4.958333333333333,0.0,0.0,1.75,5.25,0.375,1.125,0.375,1.125,0.875,0.375,1.125,0.37499999999999994,1.625,1.4583333333333335,5.375,11.375,33.6725,22.30083333333333,4.375,0.875,0.38849999999999996,0.043166666666666666,1.9296249999999997,0.5142083333333334,0.5165,0.21816666666666665,1.413125,0.2960416666666667,3.34275,0.8102500000000001,2.88125,1.4729166666666669,92.48625,33.66625,0.31971582029848666,"dict_items([('Ru', 2.0), ('Bi', 2.0), ('K', 12.0)])",0.3027559027716337
65_350_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,2279.15,45.0,1.0,0.003118679192260396,3.0,3.0,25.375,14.875,60.297571537500005,36.2840173325,54.820662500000005,36.6855125,1822.875,1845.375,2.875,4.375,188.25,34.41666666666667,3744.5,6739.833333333334,34.6975,19.909166666666668,62.675,33.30833333333332,1.175,0.8283333333333335,9.898750000000001,17.64875,0.0,0.0,-2.879189671,4.157183235333333,0.627875,0.3012916666666666,28.330000000000002,2.963333333333334,9.898750000000001,17.64875,5.1079224750000005,1.7902714083333335,28.0775,8.289166666666667,41.79575,9.357250000000002,45.6825,0.0,61.995,0.0,74.55000000000001,0.0,88.17,0.0,116.16,0.0,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,857.8975,1216.5241666666666,16.625,31.791666666666664,0.625,1.4583333333333333,1.875,4.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.625,1.4583333333333335,2.875,4.375,34.6975,19.909166666666668,4.25,0.5833333333333335,0.38625,0.03791666666666667,1.97125,0.41708333333333336,0.534375,0.17645833333333327,1.4368750000000001,0.24062500000000006,3.408125,0.6577083333333335,3.0375,1.8375000000000004,110.25,19.625000000000004,0.9931324462895548,"dict_items([('Ru', 2.0), ('Rh', 2.0), ('K', 12.0)])",0.47565169884338077
44_300_0,0.0,0.12,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,300.0,2109.974874371859,24.0,1.0,0.011783408041866969,5.0,3.0,22.75,10.0,60.093499995,36.760184265,48.456987500000004,24.851612499999995,1694.875,1546.7083333333335,2.5,3.5,187.875,35.29166666666667,3080.75,5191.083333333333,35.0725,19.034166666666668,57.0,21.824999999999996,1.0975000000000001,0.6475000000000002,9.200000000000001,16.018333333333334,0.0,0.0,-3.1606985485,4.814037282833334,0.653625,0.2412083333333333,28.126250000000002,3.438750000000002,9.200000000000001,16.018333333333334,5.021373725,1.5883243250000003,27.8782125,8.754170833333333,41.78325,9.386416666666669,51.8275,5.140625,70.6775,5.774999999999997,85.87936250000001,3.834731250000006,108.1925,18.646250000000002,139.2475,13.046249999999997,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,850.7725,1199.8991666666666,15.375,28.875,1.0,2.3333333333333335,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.3333333333333335,2.5,3.5,35.0725,19.034166666666668,4.125,0.3749999999999998,0.365,0.035000000000000024,1.9662499999999998,0.42874999999999985,0.534375,0.17645833333333327,1.431875,0.2522916666666667,3.3981250000000003,0.6810416666666667,2.94375,1.6187500000000004,103.5625,4.6874999999999964,0.3471238151722035,"dict_items([('Ru', 2.0), ('Cr', 2.0), ('K', 12.0)])",0.22032983321746902
38_250_1,0.0,0.12,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,250.0,2665.7537688442208,25.0,1.0,0.01099456859272232,4.0,3.0,22.875,10.125,60.108470870000005,36.725252223333335,48.824730625,25.21935562499999,1618.625,1434.375,2.625,3.791666666666667,187.875,35.29166666666667,3122.0,5287.333333333333,34.7975,19.67583333333333,48.9625,13.7875,1.08375,0.6154166666666667,8.18875,14.9175,0.0,0.0,-3.1000546372500004,4.67253482325,0.6573749999999999,0.23245833333333332,28.497500000000002,2.572500000000003,8.18875,14.9175,5.104812475,1.7830147416666664,27.7725,9.000833333333333,42.12175,8.596583333333339,52.082499999999996,4.248124999999997,71.045,4.488749999999996,86.50000000000001,1.662500000000005,103.070375,0.7188124999999896,140.4725,17.333750000000002,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,768.1475,1007.1075000000001,15.75,29.75,1.0,2.3333333333333335,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.375,1.125,0.37499999999999994,1.875,2.0416666666666665,2.625,3.791666666666667,34.7975,19.67583333333333,4.125,0.3749999999999998,0.3625,0.04249999999999997,1.9487499999999998,0.4695833333333333,0.526875,0.1939583333333333,1.421875,0.2756250000000001,3.370625,0.7452083333333333,2.91875,1.5604166666666672,92.47625,33.696250000000006,0.1476776770349887,"dict_items([('Ru', 2.0), ('Mn', 2.0), ('K', 12.0)])",0.19946889244684538
