,Mg Loading,K Loading,Ca Loading,Sc Loading,Cr Loading,Mn Loading,Fe Loading,Co Loading,Ni Loading,Cu Loading,Zn Loading,Sr Loading,Y Loading,Mo Loading,Ru Loading,Rh Loading,Pd Loading,In Loading,Hf Loading,W Loading,Re Loading,Os Loading,Ir Loading,Pt Loading,Bi Loading,reactor_number,temperature,space_velocity,group,ammonia_concentration,standard error,n_averaged,n_elements,Atomic Number_wt-mean,Atomic Number_wt-mad,Atomic Volume_wt-mean,Atomic Volume_wt-mad,Atomic Weight_wt-mean,Atomic Weight_wt-mad,Boiling Temperature_wt-mean,Boiling Temperature_wt-mad,Periodic Table Column_wt-mean,Periodic Table Column_wt-mad,Covalent Radius_wt-mean,Covalent Radius_wt-mad,Density_wt-mean,Density_wt-mad,Dipole Polarizability_wt-mean,Dipole Polarizability_wt-mad,Electron Affinity_wt-mean,Electron Affinity_wt-mad,Electronegativity_wt-mean,Electronegativity_wt-mad,Fusion Enthalpy_wt-mean,Fusion Enthalpy_wt-mad,GS Bandgap_wt-mean,GS Bandgap_wt-mad,GS Energy_wt-mean,GS Energy_wt-mad,Heat Capacity (Mass)_wt-mean,Heat Capacity (Mass)_wt-mad,Heat Capacity (Molar)_wt-mean,Heat Capacity (Molar)_wt-mad,Heat Fusion_wt-mean,Heat Fusion_wt-mad,First Ionization Energy_wt-mean,First Ionization Energy_wt-mad,Second Ionization Energy_wt-mean,Second Ionization Energy_wt-mad,Third Ionization Energy_wt-mean,Third Ionization Energy_wt-mad,Fourth Ionization Energy_wt-mean,Fourth Ionization Energy_wt-mad,Fifth Ionization Energy_wt-mean,Fifth Ionization Energy_wt-mad,Sixth Ionization Energy_wt-mean,Sixth Ionization Energy_wt-mad,Seventh Ionization Energy_wt-mean,Seventh Ionization Energy_wt-mad,Eighth Ionization Energy_wt-mean,Eighth Ionization Energy_wt-mad,IsAlkali_wt-mean,IsAlkali_wt-mad,IsDBlock_wt-mean,IsDBlock_wt-mad,IsFBlock_wt-mean,IsFBlock_wt-mad,IsMetal_wt-mean,IsMetal_wt-mad,IsMetalloid_wt-mean,IsMetalloid_wt-mad,IsNonmetal_wt-mean,IsNonmetal_wt-mad,Melting Temperature_wt-mean,Melting Temperature_wt-mad,Mendeleev Number_wt-mean,Mendeleev Number_wt-mad,Number d-shell Unfilled Electrons_wt-mean,Number d-shell Unfilled Electrons_wt-mad,Number d-shell Valence Electrons_wt-mean,Number d-shell Valence Electrons_wt-mad,Number f-shell Unfilled Electrons_wt-mean,Number f-shell Unfilled Electrons_wt-mad,Number f-shell Valence Electrons_wt-mean,Number f-shell Valence Electrons_wt-mad,Number p-shell Unfilled Electrons_wt-mean,Number p-shell Unfilled Electrons_wt-mad,Number p-shell Valence Electrons_wt-mean,Number p-shell Valence Electrons_wt-mad,Number s-shell Unfilled Electrons_wt-mean,Number s-shell Unfilled Electrons_wt-mad,Number s-shell Valence Electrons_wt-mean,Number s-shell Valence Electrons_wt-mad,Number Unfilled Electrons_wt-mean,Number Unfilled Electrons_wt-mad,Number Valence Electrons_wt-mean,Number Valence Electrons_wt-mad,Polarizability_wt-mean,Polarizability_wt-mad,Periodic Table Row_wt-mean,Periodic Table Row_wt-mad,Zunger Pseudopotential (d)_wt-mean,Zunger Pseudopotential (d)_wt-mad,Zunger Pseudopotential (p)_wt-mean,Zunger Pseudopotential (p)_wt-mad,Zunger Pseudopotential (pi)_wt-mean,Zunger Pseudopotential (pi)_wt-mad,Zunger Pseudopotential (s)_wt-mean,Zunger Pseudopotential (s)_wt-mad,Zunger Pseudopotential (sigma)_wt-mean,Zunger Pseudopotential (sigma)_wt-mad,phi_wt-mean,phi_wt-mad,Conductivity_wt-mean,Conductivity_wt-mad,Measured Conversion,Element Dictionary,predictions
29_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,300.0,1825.8875,39.0,1.0,0.006636682375590697,6.0,3.0,24.9375,13.4375,61.493200766875006,31.873770924791668,53.830965625000005,33.362540624999994,1829.4375,1793.6041666666665,2.4375,3.0625,191.5,24.45833333333334,3240.875,5084.958333333333,35.64125,16.615416666666665,57.14375,18.19791666666667,1.10375,0.6045833333333335,9.69875,15.671458333333334,0.0,0.0,-2.9511860650625,4.0976720052291675,0.631,0.289,28.369375,2.6656250000000012,9.69875,15.671458333333334,5.024172475,1.499588075,27.629,9.713666666666665,40.975125,11.934541666666673,49.469812499999996,0.12715624999999564,66.8075,2.2993749999999986,80.36250000000001,2.6000000000000023,95.42,0.6337500000000009,124.2225,10.513749999999998,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,853.6475,1139.2741666666666,13.5,22.291666666666664,1.125,3.5,1.375,2.916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.35416666666666663,1.0625,0.35416666666666663,2.0625,3.1458333333333335,2.4375,3.0625,35.64125,16.615416666666665,4.25,0.5833333333333335,0.39812499999999995,0.08270833333333329,1.9874999999999998,0.36583333333333323,0.5353125000000001,0.1755208333333333,1.4521875,0.19031250000000005,3.4396875,0.5561458333333333,2.9000000000000004,1.385416666666667,99.8875,28.700000000000006,0.944983567742566,"dict_items([('Ru', 3.0), ('Y', 1.0), ('K', 12.0)])",0.8346957497089279
33_300_1,0.01,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,300.0,2368.0541871921178,12.0,1.0,0.02416971616575157,5.0,3.0,23.25,8.875,60.881268280625,34.117523374375,49.7934125,22.373108333333327,1688.5,1390.5416666666665,2.375,2.916666666666667,188.4375,34.39583333333333,3070.0,4686.25,34.895416666875,19.350138888125,55.293749999999996,13.88125,1.109375,0.6177083333333334,9.516875,15.247083333333334,0.0,0.0,-2.6435405985000004,3.2699564887916663,0.6763125,0.16664583333333335,28.2655625,3.0462708333333355,9.516875,15.247083333333334,5.1134809125,1.8270523458333336,27.804704375,9.069417291666666,44.70160625,10.355435416666664,52.511593749999996,19.644421875000003,70.824375,23.810312500000006,86.22250000000001,35.48999999999998,102.23375,43.655625000000015,132.7825,45.12624999999999,0.8125,0.39583333333333337,0.1875,0.39583333333333337,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,798.8975,984.2545833333332,17.0,33.666666666666664,0.5625,1.1875,1.3125,2.770833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.35416666666666663,1.0625,0.35416666666666663,1.5,1.0416666666666665,2.375,2.916666666666667,34.895416666875,19.350138888125,4.125,0.25,0.36187499999999995,0.03750000000000002,1.9568749999999997,0.4781249999999999,0.5309375000000001,0.19156249999999997,1.4259375,0.2865625,3.3828125,0.7646875,2.9156250000000004,1.4218750000000004,108.5625,20.458333333333336,0.8212433794570246,"dict_items([('Ru', 3.0), ('Mg', 1.0), ('K', 12.0)])",0.7397417561762909
35_250_0,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,250.0,2187.386934673367,12.0,1.0,0.006611933038836862,8.0,3.0,19.25,8.125,62.088070616875,32.910721038125,40.197787500000004,20.407341666666664,1306.0,1235.4583333333333,1.625,2.5833333333333335,187.8125,35.02083333333333,1741.0,4169.75,35.041250000625,19.204305554374997,42.631249999999994,13.69375,0.998125,0.5397916666666667,5.753125,13.480416666666668,0.0,0.0,-1.686995441,2.914047053208333,0.7744375,0.15610416666666668,28.366687500000005,2.945145833333335,5.753125,13.480416666666668,5.1491977875,1.862769220833334,27.589113125,9.285008541666667,51.160818750000004,11.063839583333328,66.16978125,22.666640625000003,88.483125,27.473437500000006,109.56750000000001,40.94999999999999,130.36125,50.37187500000001,166.02749999999997,52.068749999999994,0.9375,0.35416666666666663,0.0625,0.3541666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,588.3975,865.2154166666666,18.5,35.166666666666664,0.1875,1.0625,0.4375,2.4791666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.39583333333333337,1.1875,0.39583333333333326,1.0,0.9583333333333333,1.625,2.5833333333333335,35.041250000625,19.204305554374997,3.875,0.25,0.305625,0.03250000000000003,1.915625,0.5193749999999999,0.5203125000000001,0.20218749999999996,1.3953125,0.3171875,3.3109375,0.8365625000000001,2.671875,1.2406250000000005,113.4375,23.29166666666667,0.03215369668080263,"dict_items([('Ru', 1.0), ('Mg', 3.0), ('K', 12.0)])",0.2600112189332723
64_250_0,0.0,0.12,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,250.0,2548.2590564236552,21.0,1.0,0.015526492021004272,3.0,3.0,23.8125,10.1875,60.992956894375006,33.707998457291666,51.084094500000006,25.384699666666663,1797.25,1675.5833333333335,2.4375,3.0625,190.25,27.75,3147.9375,4868.104166666667,35.335,17.73833333333333,56.425,16.520833333333336,1.1125,0.6250000000000002,9.868125000000001,16.06666666666667,0.0,0.0,-2.93999314725,4.056631306583334,0.647875,0.23299999999999998,28.306250000000002,2.897083333333334,9.868125000000001,16.06666666666667,5.04568435,1.5784649499999999,27.664985625,9.581719374999999,41.23991625,10.96364041666667,50.2755875,5.110381250000008,67.723125,3.6521875000000037,81.46750000000002,4.5825000000000005,96.795,8.303749999999999,126.04124999999999,1.3081250000000093,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,854.585,1142.7116666666666,13.4375,22.145833333333336,1.125,3.5,1.375,2.916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.35416666666666663,1.0625,0.35416666666666663,2.0625,3.1458333333333335,2.4375,3.0625,35.335,17.73833333333333,4.1875,0.39583333333333315,0.38125,0.02291666666666666,1.9818749999999998,0.3864583333333331,0.5359375000000001,0.17322916666666668,1.4459375,0.21322916666666664,3.4278125,0.5996874999999999,2.903125,1.3927083333333334,99.8,29.19583333333333,0.3239596719587166,"dict_items([('Ru', 3.0), ('Sc', 1.0), ('K', 12.0)])",0.3889411685049485
31_350_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,350.0,1986.85,39.0,1.0,0.0,6.0,3.0,24.3125,12.8125,63.923868075625,29.443103616041668,52.310446875000004,31.842021874999993,1728.8125,1692.9791666666665,1.8125,2.6875,197.0,21.541666666666675,2253.625,4454.541666666667,37.27875,14.977916666666665,48.18125,16.777083333333337,0.98125,0.5304166666666668,6.29875,13.783541666666668,0.0,0.0,-2.6099318406875,3.756417780854167,0.6385,0.2815,28.678125,2.3568750000000005,6.29875,13.783541666666668,4.881272475,1.3566880749999999,27.062,10.280666666666665,39.981375,12.928291666666674,57.0444375,0.1467187499999958,76.4325,2.6531249999999984,91.98750000000001,3.0000000000000027,109.92,0.7312500000000011,140.3475,12.131249999999998,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,752.6475,1038.2741666666666,8.0,19.708333333333332,1.875,4.0,0.625,2.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.39583333333333337,1.1875,0.39583333333333326,2.6875,3.604166666666667,1.8125,2.6875,37.27875,14.977916666666665,4.25,0.5833333333333335,0.41437499999999994,0.09479166666666664,2.0075,0.3458333333333332,0.5334375,0.17739583333333328,1.4740625,0.16843750000000002,3.4815625,0.5142708333333335,2.625,1.2145833333333338,87.4125,31.650000000000006,1.0,"dict_items([('Ru', 1.0), ('Y', 3.0), ('K', 12.0)])",0.9137908769149969
59_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,2234.9884526558894,72.0,1.0,0.0073263631989767125,3.0,3.0,28.75,23.0,61.36547171,33.79225026333333,64.268725,60.01834999999999,1936.375,2110.2083333333335,2.25,3.0,192.375,24.875000000000007,3852.0,6990.666666666666,35.6475,17.692499999999995,48.9625,13.7875,1.0525,0.5775000000000002,9.975000000000001,17.826666666666664,0.0,0.0,-3.216771397875,4.9448739313750005,0.6154999999999999,0.3301666666666667,28.423750000000002,2.744583333333334,9.975000000000001,17.826666666666664,5.028693725,1.6054043249999994,27.6925,9.1875,40.82575,11.62058333333334,49.848749999999995,12.06625,61.995,0.0,74.55000000000001,0.0,88.17,0.0,116.16,0.0,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,891.5225,1294.9825,14.875,27.708333333333336,1.375,3.375,1.125,2.875,0.0,0.0,1.75,5.25,0.0,0.0,0.0,0.0,0.875,0.375,1.125,0.37499999999999994,2.25,3.0,4.0,7.25,35.6475,17.692499999999995,4.375,0.875,0.4125,0.10750000000000004,1.9962499999999999,0.3587499999999998,0.535625,0.17354166666666668,1.460625,0.18520833333333334,3.456875,0.5439583333333333,2.8125,1.35,94.375,28.000000000000004,0.2537210310218377,"dict_items([('Ru', 2.0), ('Hf', 2.0), ('K', 12.0)])",0.24025204618440135
32_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,250.0,2107.3250000000007,39.0,1.0,0.011004059326620614,3.0,3.0,25.666666666666668,13.484848484848484,59.45166546909092,32.32266013060607,55.63106212121212,33.46901212121212,1932.4242424242425,1806.030303030303,2.757575757575758,3.1818181818181817,188.78787878787878,25.44444444444445,3756.848484848485,5279.777777777778,34.45515151515151,16.98090909090909,60.65454545454545,19.249494949494952,1.1666666666666667,0.6280808080808082,11.39848484848485,16.29520202020202,0.0,0.0,-3.223109740818182,4.165593348878788,0.6172727272727272,0.2879090909090909,28.163939393939398,2.740606060606062,11.39848484848485,16.29520202020202,5.129612703030303,1.530839312121212,27.43709090909091,9.386242424242424,40.83709090909091,11.426787878787884,46.134454545454545,0.1185606060606018,62.44969696969697,2.1439393939393927,75.10909090909092,2.4242424242424265,89.01333333333334,0.5909090909090917,116.5490909090909,9.803030303030301,0.7272727272727273,0.5757575757575758,0.2727272727272727,0.5757575757575758,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,931.2642424242424,1160.3312121212118,16.12121212121212,23.22222222222222,1.0,3.303030303030303,1.7272727272727273,3.0404040404040407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696969696969697,0.3434343434343434,1.0303030303030303,0.3434343434343434,1.9696969696969697,2.95959595959596,2.757575757575758,3.1818181818181817,34.45515151515151,16.98090909090909,4.2727272727272725,0.5757575757575759,0.3957575757575757,0.07777777777777772,1.9666666666666663,0.3681818181818181,0.5290909090909092,0.17257575757575752,1.4375757575757575,0.19560606060606064,3.4042424242424243,0.5637878787878788,3.0424242424242425,1.4388888888888893,103.43030303030302,28.26969696969698,0.5337192553863819,"dict_items([('Ru', 4.0), ('Y', 0.5), ('K', 12.0)])",0.2597376926729829
35_350_0,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,350.0,2187.386934673367,12.0,1.0,0.009706918092989564,6.0,3.0,19.25,8.125,62.088070616875,32.910721038125,40.197787500000004,20.407341666666664,1306.0,1235.4583333333333,1.625,2.5833333333333335,187.8125,35.02083333333333,1741.0,4169.75,35.041250000625,19.204305554374997,42.631249999999994,13.69375,0.998125,0.5397916666666667,5.753125,13.480416666666668,0.0,0.0,-1.686995441,2.914047053208333,0.7744375,0.15610416666666668,28.366687500000005,2.945145833333335,5.753125,13.480416666666668,5.1491977875,1.862769220833334,27.589113125,9.285008541666667,51.160818750000004,11.063839583333328,66.16978125,22.666640625000003,88.483125,27.473437500000006,109.56750000000001,40.94999999999999,130.36125,50.37187500000001,166.02749999999997,52.068749999999994,0.9375,0.35416666666666663,0.0625,0.3541666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,588.3975,865.2154166666666,18.5,35.166666666666664,0.1875,1.0625,0.4375,2.4791666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.39583333333333337,1.1875,0.39583333333333326,1.0,0.9583333333333333,1.625,2.5833333333333335,35.041250000625,19.204305554374997,3.875,0.25,0.305625,0.03250000000000003,1.915625,0.5193749999999999,0.5203125000000001,0.20218749999999996,1.3953125,0.3171875,3.3109375,0.8365625000000001,2.671875,1.2406250000000005,113.4375,23.29166666666667,0.4767961586382081,"dict_items([('Ru', 1.0), ('Mg', 3.0), ('K', 12.0)])",0.9605170973300526
78_250_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,11.0,250.0,2659.358852154718,83.0,1.0,0.003117108575094472,4.0,3.0,32.5625,28.979166666666664,64.387039238125,28.568224753541664,74.82442499999999,76.28253749999999,1394.875,1284.8333333333333,4.0625,6.5625,189.125,32.54166666666667,3248.875,5799.208333333333,33.0975,22.875833333333333,59.73125,27.28125,1.13125,0.7412500000000003,6.2455,13.753958333333333,0.0,0.0,-2.142887082875,3.1673201875833334,0.6054999999999999,0.3438333333333333,28.488750000000003,2.714583333333334,6.2455,13.753958333333333,5.081559975,1.7350089083333333,27.9018125,8.694354166666667,40.926375,11.143291666666666,54.176249999999996,7.317187499999999,72.495,12.496875,91.10625000000002,5.203125000000008,88.17,0.0,116.16,0.0,0.75,0.5833333333333334,0.0625,0.3541666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,517.41,825.7779166666667,21.875,41.541666666666664,0.1875,1.0625,2.3125,5.145833333333333,0.0,0.0,2.625,5.541666666666666,0.5625,1.1875,0.5625,1.1875,0.8125,0.39583333333333337,1.1875,0.39583333333333326,1.5625,1.3958333333333335,6.6875,12.104166666666668,33.0975,22.875833333333333,4.4375,0.9375,0.38774999999999993,0.04241666666666666,1.9056874999999998,0.5381458333333333,0.506625,0.22804166666666664,1.3990625,0.3101041666666667,3.3047500000000003,0.8482500000000001,2.803125,1.3947916666666669,85.666875,35.335208333333334,0.057061941522047736,"dict_items([('Ru', 1.0), ('Bi', 3.0), ('K', 12.0)])",0.09472503085437153
49_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,10.0,300.0,2038.5175879396984,74.0,1.0,0.013916748093337459,3.0,3.0,27.125,22.083333333333332,60.421045863125,35.80500557187499,59.76435,57.71807083333332,1967.5625,2300.0625,2.625,3.625,189.75,29.58333333333333,4164.5,8293.166666666666,34.91625,19.273749999999996,60.20625,25.65625,1.175,0.8416666666666669,12.256250000000001,24.292916666666663,0.0,0.0,-3.357073617875,5.585926365541667,0.620625,0.3270416666666667,28.228125000000002,3.1835416666666663,12.256250000000001,24.292916666666663,5.1270931,1.8769637000000001,27.87125,8.825416666666666,39.692625,8.12625,45.6825,0.0,61.995,0.0,74.55000000000001,0.0,88.17,0.0,116.16,0.0,0.75,0.5833333333333334,0.25,0.5833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,972.1475,1573.7741666666666,15.9375,29.770833333333336,0.9375,2.4375,1.5625,3.3958333333333335,0.0,0.0,0.875,4.958333333333333,0.0,0.0,0.0,0.0,0.9375,0.35416666666666663,1.0625,0.35416666666666663,1.875,2.2083333333333335,3.5,7.458333333333333,34.91625,19.273749999999996,4.3125,0.8125,0.39874999999999994,0.08625000000000002,1.9809374999999998,0.38989583333333333,0.535,0.17666666666666664,1.4459375,0.21322916666666664,3.426875,0.6031250000000001,3.0,1.6999999999999997,98.8125,34.791666666666664,0.5025887047140504,"dict_items([('Ru', 3.0), ('W', 1.0), ('K', 12.0)])",0.4931370705344118
