,Feature Importance
Mg Loading,0.001120603329728635
K Loading,0.0
Ca Loading,0.0
Sc Loading,0.0
Cr Loading,0.0
Mn Loading,0.002303221580449007
Fe Loading,0.0
Co Loading,0.0
Ni Loading,0.005074675841748184
Cu Loading,0.008223847925662634
Zn Loading,0.0
Sr Loading,0.0
Y Loading,0.0
Mo Loading,0.0
Ru Loading,0.032382149406863577
Rh Loading,0.010941514643274773
Pd Loading,0.0012794995237313045
In Loading,0.0
Hf Loading,0.0
W Loading,0.0
Re Loading,0.0011171214797999725
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,0.0
reactor_number,0.014973152849085998
temperature,0.3300133620244421
space_velocity,0.02230195175668456
ammonia_concentration,0.0
n_elements,0.0
Atomic Number_wt-mean,0.0009206387819831869
Atomic Number_wt-mad,0.002587649690805672
Atomic Volume_wt-mean,0.003511339958910892
Atomic Volume_wt-mad,0.0034584605442223963
Atomic Weight_wt-mean,0.0016710153342154716
Atomic Weight_wt-mad,0.0016432439364725557
Boiling Temperature_wt-mean,0.0022611198278594947
Boiling Temperature_wt-mad,0.0033056712831291946
Periodic Table Column_wt-mean,0.0028556551055497342
Periodic Table Column_wt-mad,0.004833121187433353
Covalent Radius_wt-mean,0.010333594017344879
Covalent Radius_wt-mad,0.018821367313912245
Density_wt-mean,0.0022719296361134746
Density_wt-mad,0.00295302626379856
Dipole Polarizability_wt-mean,0.004224408630209833
Dipole Polarizability_wt-mad,0.0021852500320604217
Electron Affinity_wt-mean,0.003753216340487045
Electron Affinity_wt-mad,0.0032504597746860955
Electronegativity_wt-mean,0.0027665304231240134
Electronegativity_wt-mad,0.0028738517738655274
Fusion Enthalpy_wt-mean,0.00955008758622933
Fusion Enthalpy_wt-mad,0.004215984087784722
GS Bandgap_wt-mean,0.0
GS Bandgap_wt-mad,0.0
GS Energy_wt-mean,0.006091163854901608
GS Energy_wt-mad,0.0023653790083890368
Heat Capacity (Mass)_wt-mean,0.0019157893106413956
Heat Capacity (Mass)_wt-mad,0.002509139812468536
Heat Capacity (Molar)_wt-mean,0.01097676613507669
Heat Capacity (Molar)_wt-mad,0.011863767109038024
Heat Fusion_wt-mean,0.01029767851434897
Heat Fusion_wt-mad,0.008706959573322137
First Ionization Energy_wt-mean,0.02558552903626541
First Ionization Energy_wt-mad,0.02158294773749043
Second Ionization Energy_wt-mean,0.0028834388224087287
Second Ionization Energy_wt-mad,0.048410039514189325
Third Ionization Energy_wt-mean,0.0011476514242660001
Third Ionization Energy_wt-mad,0.06100961414711449
Fourth Ionization Energy_wt-mean,0.0010150810402542382
Fourth Ionization Energy_wt-mad,0.0012535012786620903
Fifth Ionization Energy_wt-mean,0.0016181410947646948
Fifth Ionization Energy_wt-mad,0.0036685394561393643
Sixth Ionization Energy_wt-mean,0.0010760914779865047
Sixth Ionization Energy_wt-mad,0.004374817327305321
Seventh Ionization Energy_wt-mean,0.0018442473401012063
Seventh Ionization Energy_wt-mad,0.0006620189240767947
Eighth Ionization Energy_wt-mean,0.002340601659547165
Eighth Ionization Energy_wt-mad,0.001342700245462947
IsAlkali_wt-mean,0.0012328524369884992
IsAlkali_wt-mad,0.0007684290324785684
IsDBlock_wt-mean,0.0016274776585027335
IsDBlock_wt-mad,0.0012893227060664224
IsFBlock_wt-mean,0.0
IsFBlock_wt-mad,0.0
IsMetal_wt-mean,0.0
IsMetal_wt-mad,0.0
IsMetalloid_wt-mean,0.0
IsMetalloid_wt-mad,0.0
IsNonmetal_wt-mean,0.0
IsNonmetal_wt-mad,0.0
Melting Temperature_wt-mean,0.006832381307658256
Melting Temperature_wt-mad,0.0046545558748808825
