,Feature Importance
Mg Loading,0.0010707103280034283
K Loading,0.0
Ca Loading,0.0013087769902122332
Sc Loading,0.002133614338695881
Cr Loading,0.004025071970726801
Mn Loading,0.0010757049122384807
Fe Loading,0.012115281157572173
Co Loading,0.0020931975251680763
Ni Loading,0.002383709500347465
Cu Loading,0.0053949792530336525
Zn Loading,0.0009259815863884142
Sr Loading,0.0003622000847364711
Y Loading,0.0008873884930376643
Mo Loading,0.0
Ru Loading,0.004253317507027882
Rh Loading,0.00298091503472168
Pd Loading,0.0003082513527322835
In Loading,0.00012378697181197063
Hf Loading,0.0002746117003069608
W Loading,0.004579153516279217
Re Loading,0.0
Os Loading,0.0
Ir Loading,0.0
Pt Loading,0.0
Bi Loading,3.786792238869015e-05
reactor_number,0.005999093264734768
temperature,0.35141184593343283
space_velocity,0.005422688670324484
ammonia_concentration,0.0
n_elements,0.0
Atomic Number_wt-mean,0.006737429602692012
Atomic Number_wt-mad,0.001834164935770307
Atomic Volume_wt-mean,0.0018897279469991368
Atomic Volume_wt-mad,0.005538740653875928
Atomic Weight_wt-mean,0.0074636582917058485
Atomic Weight_wt-mad,0.002272043125169638
Boiling Temperature_wt-mean,0.0027375142889854314
Boiling Temperature_wt-mad,0.0016179422957516684
Periodic Table Column_wt-mean,0.003982769506340984
Periodic Table Column_wt-mad,0.03745997056159315
Covalent Radius_wt-mean,0.0037368025147999067
Covalent Radius_wt-mad,0.0065351251605342865
Density_wt-mean,0.0031164175721189336
Density_wt-mad,0.003077444676912017
Dipole Polarizability_wt-mean,0.001334748789377036
Dipole Polarizability_wt-mad,0.011054861022662581
Electron Affinity_wt-mean,0.007428701341368813
Electron Affinity_wt-mad,0.009427663326647328
Electronegativity_wt-mean,0.0013446392717240152
Electronegativity_wt-mad,0.005296461674669565
Fusion Enthalpy_wt-mean,0.0053176428999966
Fusion Enthalpy_wt-mad,0.005632137630848474
GS Bandgap_wt-mean,0.0
GS Bandgap_wt-mad,0.0
GS Energy_wt-mean,0.0035385190897624518
GS Energy_wt-mad,0.001604664126888217
Heat Capacity (Mass)_wt-mean,0.005934679529732614
Heat Capacity (Mass)_wt-mad,0.002919144490247799
Heat Capacity (Molar)_wt-mean,0.002023933378464945
Heat Capacity (Molar)_wt-mad,0.005105933934302004
Heat Fusion_wt-mean,0.0039314192292562835
Heat Fusion_wt-mad,0.004778881250015246
First Ionization Energy_wt-mean,0.0061533175201604305
First Ionization Energy_wt-mad,0.0038860497751509264
Second Ionization Energy_wt-mean,0.0026376432950450802
