,Feature Importance
temperature,0.31381717692430233
Polarizability,0.03868808518648387
Number d-shell Valence Electrons,0.03763780539791579
Mendeleev Number,0.03207271290424266
Periodic Table Column,0.030084648757892695
Covalent Radius,0.02954812986447173
Dipole Polarizability,0.029203275930529706
Second Ionization Energy,0.02631292578846616
Ru Loading,0.02304372306174339
Electronegativity,0.02304225808308249
Zunger Pseudopotential (p),0.022207527437928094
Zunger Pseudopotential (sigma),0.017270418942149986
Zunger Pseudopotential (s),0.01697300559592406
Rh Loading,0.016522912801598663
Heat Fusion,0.015479255912380398
Zunger Pseudopotential (pi),0.014980936920095961
Number Valence Electrons,0.014190529897501036
Heat Capacity (Mass),0.013951579920897692
Electron Affinity,0.01367904223168487
Third Ionization Energy,0.013094339319058665
Atomic Weight,0.012791828101543154
Atomic Number,0.012465821916838435
Fusion Enthalpy,0.012161970637505744
Eighth Ionization Energy,0.012126504565904264
phi,0.01200057107023204
Zunger Pseudopotential (d),0.011650929971310902
Number d-shell Unfilled Electrons,0.01041808217742642
Fourth Ionization Energy,0.009795215142682933
Periodic Table Row,0.009734097173611327
Fe Loading,0.009011712500668265
First Ionization Energy,0.008693164857238492
GS Energy,0.008586003793013016
Boiling Temperature,0.008024813361395901
Sixth Ionization Energy,0.007833658935952042
Number s-shell Unfilled Electrons,0.007690101327349517
Conductivity,0.007581098565682678
space,0.0074972332646035
Melting Temperature,0.0072253018217600246
IsAlkali,0.007007521434951747
Atomic Volume,0.0068343578711485605
Seventh Ionization Energy,0.006745785211462781
Fifth Ionization Energy,0.006128547782291136
reactor,0.005737628077142422
Heat Capacity (Molar),0.005681254559645443
Density,0.0054480944473381775
Number Unfilled Electrons,0.004385016958192231
Number s-shell Valence Electrons,0.0041108196334218895
Mo Loading,0.0031169758179095523
Ni Loading,0.0026753637881286813
W Loading,0.0025601748148514967
Re Loading,0.002266624784238922
Cu Loading,0.002006745278785497
Cr Loading,0.0018927823818754499
IsDBlock,0.0016869501492554082
Co Loading,0.0016066409629869607
Pd Loading,0.0015829006064623004
Number p-shell Unfilled Electrons,0.0014025491915279128
Mg Loading,0.001376300537871267
Sc Loading,0.0013264666873358177
Mn Loading,0.001180555098003904
Ca Loading,0.0011672840502594969
Number f-shell Valence Electrons,0.0011347611928505079
Y Loading,0.0007738206835843924
Hf Loading,0.000649630381458573
Number p-shell Valence Electrons,0.0006145522052293643
Zn Loading,0.00045672674909563054
In Loading,0.0004241189033369289
Ir Loading,0.0004215808551122524
Sr Loading,0.0003709423244241099
Bi Loading,0.00013812651675238662
IsMetal,0.0
K Loading,0.0
n,0.0
ammonia,0.0
Pt Loading,0.0
GS Bandgap,0.0
IsNonmetal,0.0
Number f-shell Unfilled Electrons,0.0
Os Loading,0.0
IsFBlock,0.0
IsMetalloid,0.0
