	X	Y	Yfit
0	116.658	25	0.209378
1	117.805	26.5	0.215153
2	118.949	25	0.22117
3	120.096	29	0.227476
4	121.242	30	0.234067
5	122.386	28	0.240953
6	123.532	29	0.248178
7	124.675	31.5	0.255732
8	125.819	33	0.263662
9	126.963	30	0.271989
10	128.108	25	0.280745
11	129.251	28	0.289937
12	130.394	27	0.299612
13	131.537	28	0.309804
14	132.68	28.5	0.32055
15	133.821	30.5	0.331873
16	134.964	27.5	0.343856
17	136.106	28.5	0.356519
18	137.247	30.5	0.369913
19	138.389	23.5	0.384123
20	139.53	27.5	0.399188
21	140.671	30.5	0.415194
22	141.811	27	0.432204
23	142.952	29	0.450339
24	144.092	26.5	0.469665
25	145.231	29.5	0.490288
26	146.37	31	0.512347
27	147.509	27.5	0.535979
28	148.648	32	0.561337
29	149.787	30	0.588593
30	150.926	30	0.617943
31	152.064	30	0.649577
32	153.203	26.5	0.683801
33	154.341	29.5	0.720839
34	155.477	27.5	0.760968
35	156.615	30	0.804702
36	157.751	32.5	0.852312
37	158.889	29.5	0.904457
38	160.025	34	0.961523
39	161.16	29	1.0242
40	162.297	29	1.09345
41	163.433	31	1.16999
42	164.568	31	1.25489
43	165.703	26	1.34948
44	166.838	33	1.45531
45	167.972	31	1.57408
46	169.107	32	1.70824
47	170.24	32	1.86011
48	171.374	32.5	2.03342
49	172.508	33.5	2.23217
50	173.64	29.5	2.4611
51	174.774	35.5	2.72756
52	175.906	27.5	3.03894
53	177.04	33	3.40714
54	178.171	33	3.84456
55	179.303	34.5	4.37127
56	180.434	32	5.01169
57	181.567	34	5.803
58	182.698	37.5	6.79333
59	183.829	36.5	8.06088
60	184.96	43	9.72733
61	186.089	39.5	11.9845
62	187.219	44.5	15.149
63	188.349	50	19.6867
64	189.479	53.5	26.2361
65	190.608	66.5	35.543
66	191.738	78	48.2586
67	192.866	101.5	64.1016
68	193.995	107	80.1691
69	195.123	114.5	89.3418
70	196.251	115	85.3953
71	197.378	99	71.2328
72	198.505	83.5	54.7125
73	199.634	70	40.5323
74	200.761	56	29.8453
75	201.886	50.5	22.2332
76	203.013	40	16.9247
77	204.139	43	13.2412
78	205.266	38	10.6377
79	206.392	39	8.74665
80	207.516	39.5	7.32836
81	208.642	34	6.22933
82	209.766	39	5.3608
83	210.892	40.5	4.6595
84	212.016	38	4.08706
85	213.139	37.5	3.61359
86	214.263	37	3.21712
87	215.386	35	2.88257
88	216.511	35	2.59711
89	217.634	35.5	2.35253
90	218.755	40.5	2.14143
91	219.878	38.5	1.95741
92	221.001	36	1.79641
93	222.123	36.5	1.65586
94	223.245	44	1.53052
95	224.366	35.5	1.41815
96	225.488	37.5	1.31864
97	226.608	33	1.22967
98	227.73	32.5	1.1495
99	228.85	31	1.07726
100	229.969	32	1.01189
101	231.089	30	0.952434
102	232.209	28.5	0.898264
103	233.328	30	0.848816
104	234.447	31	0.803521
105	235.566	32	0.761932
106	236.685	33	0.723658
107	237.803	31.5	0.68839
108	238.922	29	0.655768
109	240.039	28.5	0.625615
110	241.157	26	0.597618
111	242.274	29	0.571624
112	243.391	29	0.547428
113	244.508	32	0.524871
114	245.625	27.5	0.50381
115	246.741	30.5	0.484134
116	247.857	30	0.465712
117	248.973	30	0.448441
118	250.088	27.5	0.432243
119	251.203	32	0.41702
120	252.318	32	0.402698
121	253.433	30.5	0.389207
122	254.547	31	0.376499
123	255.661	28.5	0.364505
124	256.776	29.5	0.353165
125	257.889	29.5	0.342462
126	259.003	29	0.332324
127	260.115	31.5	0.322739
128	261.229	34.5	0.313638
129	262.341	31	0.30502
130	263.453	29	0.296839
131	264.565	31	0.289068
132	265.677	35	0.281682
133	266.789	26.5	0.274657
134	267.9	27.5	0.267977
135	269.011	24	0.261617
136	270.122	30	0.255557
137	271.232	28.5	0.249787
138	272.343	23.5	0.244279
139	273.453	32	0.239029
140	274.562	29.5	0.234023
141	275.672	27.5	0.229238
142	276.781	29	0.224672
143	277.89	30	0.22031
144	278.999	29	0.216141
145	280.108	29.5	0.212154
146	281.216	29	0.208346
147	282.324	31	0.204703
148	283.431	29	0.201222
149	284.539	29.5	0.197887
150	285.645	26	0.194702
151	286.752	31.5	0.191651
152	287.859	30	0.18873
153	288.965	31	0.185937
154	290.071	28	0.183264
155	291.177	28	0.180705
156	292.283	32	0.178256
157	293.388	29	0.175915
158	294.493	27	0.173674
159	295.599	30.5	0.171529
160	296.703	31.5	0.16948
161	297.807	31	0.167522
162	298.911	31.5	0.165649
163	300.015	29.5	0.16386
164	301.117	30.5	0.162154
165	302.221	30	0.160522
166	303.324	32.5	0.158967
167	304.426	32	0.157485
168	305.529	28	0.156072
169	306.631	32	0.154728
170	307.734	31	0.153448
171	308.835	30.5	0.152235
172	309.936	30	0.151082
173	311.038	31.5	0.149989
174	312.139	35.5	0.148955
175	313.239	33	0.147979
176	314.34	28.5	0.147057
177	315.44	31	0.14619
178	316.539	28.5	0.145376
179	317.639	27	0.144613
180	318.738	31.5	0.1439
181	319.837	29	0.143237
182	320.936	28	0.142621
183	322.034	26	0.142054
184	323.133	26	0.141532
185	324.231	34	0.141056
186	325.328	32	0.140625
187	326.425	30	0.140238
188	327.524	29	0.139893
189	328.621	32	0.139592
190	329.717	32	0.139333
191	330.812	33	0.139116
192	331.909	30.5	0.13894
193	333.005	32	0.138805
194	334.101	30	0.13871
195	335.196	26	0.138656
196	336.292	28	0.138641
197	337.386	30.5	0.138666
198	338.481	30	0.138731
199	339.575	33.5	0.138835
200	340.669	30.5	0.138978
201	341.763	29	0.13916
202	342.856	31	0.139381
203	343.949	31.5	0.139642
204	345.043	28.5	0.139942
205	346.136	30	0.140281
206	347.228	29.5	0.14066
207	348.321	32.5	0.141079
208	349.412	30	0.141537
209	350.504	29.5	0.142035
210	351.597	27.5	0.142575
211	352.687	28	0.143155
212	353.778	30	0.143776
213	354.87	28.5	0.14444
214	355.96	29.5	0.145145
215	357.05	28.5	0.145894
216	358.139	29.5	0.146685
217	359.229	27	0.147521
218	360.319	32.5	0.148402
219	361.408	33.5	0.149329
220	362.497	31	0.150302
221	363.585	33.5	0.151321
222	364.674	29.5	0.15239
223	365.761	34	0.153507
224	366.85	31.5	0.154676
225	367.937	29	0.155895
226	369.025	34.5	0.157168
227	370.112	27	0.158493
228	371.198	29.5	0.159874
229	372.285	29	0.161312
230	373.371	28	0.162808
231	374.457	29	0.164364
232	375.543	34	0.165981
233	376.629	34	0.167663
234	377.714	33	0.169409
235	378.798	28	0.17122
236	379.884	31.5	0.173105
237	380.967	31	0.175056
238	382.052	34.5	0.177086
239	383.136	30	0.179191
240	384.221	30	0.181377
241	385.304	32.5	0.183642
242	386.387	30	0.185992
243	387.469	29	0.188429
244	388.552	28	0.19096
245	389.635	35.5	0.193586
246	390.717	32	0.196309
247	391.798	36	0.199133
248	392.88	34	0.202067
249	393.962	30	0.205112
250	395.042	28	0.208268
251	396.124	27.5	0.211552
252	397.204	31	0.214957
253	398.283	28.5	0.218491
254	399.365	33	0.222173
255	400.444	29	0.22599
256	401.523	32.5	0.229958
257	402.603	33	0.234089
258	403.682	31.5	0.238383
259	404.761	29	0.242852
260	405.84	25.5	0.247505
261	406.917	36.5	0.252341
262	407.995	35.5	0.257385
263	409.072	36	0.262638
264	410.15	33	0.268121
265	411.227	34	0.273836
266	412.305	31	0.279808
267	413.381	32	0.286033
268	414.457	30	0.292538
269	415.533	38	0.299339
270	416.609	29	0.306455
271	417.685	30.5	0.313904
272	418.76	31.5	0.3217
273	419.836	34.5	0.329879
274	420.911	31.5	0.338452
275	421.985	31	0.347441
276	423.06	32	0.356895
277	424.133	26.5	0.366816
278	425.208	30	0.377274
279	426.281	31.5	0.388269
280	427.354	30	0.399858
281	428.428	33	0.412098
282	429.5	33.5	0.425002
283	430.573	27	0.438657
284	431.645	33	0.453095
285	432.717	31.5	0.468395
286	433.788	29	0.484608
287	434.86	30	0.501845
288	435.931	29	0.520159
289	437.002	31.5	0.539662
290	438.073	26	0.560458
291	439.143	35.5	0.582648
292	440.214	30.5	0.606403
293	441.283	30	0.631805
294	442.353	32	0.659089
295	443.422	33.5	0.688392
296	444.491	32	0.719951
297	445.56	31	0.754008
298	446.629	31.5	0.790837
299	447.698	31	0.830751
300	448.766	29	0.874066
301	449.833	31.5	0.921186
302	450.901	29	0.972672
303	451.968	34.5	1.02898
304	453.036	33.5	1.09085
305	454.102	33	1.15886
306	455.168	27.5	1.23399
307	456.236	32	1.31745
308	457.301	30.5	1.41006
309	458.367	34	1.51363
310	459.433	32	1.62983
311	460.498	31.5	1.76068
312	461.562	30.5	1.90874
313	462.627	30	2.0775
314	463.692	33.5	2.27079
315	464.756	32.5	2.49342
316	465.82	36.5	2.75196
317	466.883	35.5	3.05461
318	467.946	33.5	3.41326
319	469.011	38.5	3.84548
320	470.073	37	4.3741
321	471.136	39	5.03884
322	472.198	34.5	5.89611
323	473.26	37	7.03154
324	474.322	39.5	8.56427
325	475.384	40	10.6497
326	476.445	45	13.4687
327	477.506	43.5	17.2138
328	478.566	46	22.0394
329	479.628	55	28.0233
330	480.688	69.5	34.9911
331	481.749	76	42.3849
332	482.808	81.5	48.933
333	483.867	84	52.8041
334	484.927	83	52.5109
335	485.986	74	48.184
336	487.045	77	41.4459
337	488.103	67	34.1011
338	489.16	57.5	27.2928
339	490.219	51	21.5028
340	491.277	49.5	16.8622
341	492.334	42.5	13.2888
342	493.392	40	10.6112
343	494.448	44	8.64654
344	495.505	41.5	7.20976
345	496.561	45	6.15502
346	497.618	40.5	5.36714
347	498.674	40	4.7675
348	499.73	30	4.30136
349	500.784	38	3.93411
350	501.84	32	3.6415
351	502.895	31	3.40947
352	503.95	36.5	3.2276
353	505.004	36	3.08911
354	506.058	35	2.98912
355	507.112	36	2.92462
356	508.165	35	2.89399
357	509.219	36	2.89675
358	510.272	33	2.93368
