,X,Y,Yfit
0,116.658,24,0.0210681
1,117.805,26.5,0.0216764
2,118.949,25.5,0.0223103
3,120.096,20,0.0229748
4,121.242,23.5,0.0236695
5,122.386,29.5,0.0243956
6,123.532,25.5,0.0251576
7,124.675,24.5,0.0259545
8,125.819,27.5,0.0267913
9,126.963,27,0.0276701
10,128.108,24,0.0285945
11,129.251,25.5,0.0295652
12,130.394,26,0.030587
13,131.537,22,0.0316636
14,132.68,26,0.0327991
15,133.821,26,0.0339958
16,134.964,24,0.0352624
17,136.106,25.5,0.0366012
18,137.247,26.5,0.0380176
19,138.389,17.5,0.0395205
20,139.53,29,0.0411141
21,140.671,23,0.0428076
22,141.811,22.5,0.0446077
23,142.952,22.5,0.0465271
24,144.092,23,0.0485728
25,145.231,25,0.0507563
26,146.37,24,0.0530921
27,147.509,29.5,0.055595
28,148.648,26.5,0.058281
29,149.787,23,0.0611687
30,150.926,28,0.0642786
31,152.064,22,0.0676311
32,153.203,25.5,0.0712588
33,154.341,23.5,0.0751854
34,155.477,29.5,0.0794405
35,156.615,27,0.0840788
36,157.751,25.5,0.0891293
37,158.889,22.5,0.0946621
38,160.025,28,0.100719
39,161.16,24,0.107373
40,162.297,23,0.114726
41,163.433,25,0.122857
42,164.568,25,0.131878
43,165.703,26.5,0.141935
44,166.838,26,0.153191
45,167.972,25,0.165832
46,169.107,30,0.180119
47,170.24,27,0.196306
48,171.374,23.5,0.214794
49,172.508,26.5,0.236019
50,173.64,28.5,0.260498
51,174.774,21.5,0.289034
52,175.906,21,0.322443
53,177.04,23,0.362038
54,178.171,26.5,0.409207
55,179.303,26,0.466196
56,180.434,23,0.535763
57,181.567,25,0.622081
58,182.698,23.5,0.730464
59,183.829,25,0.869185
60,184.96,32.5,1.05035
61,186.089,26.5,1.292
62,187.219,28,1.62384
63,188.349,26,2.09322
64,189.479,28.5,2.77981
65,190.608,24,3.81778
66,191.738,27.5,5.43017
67,192.866,38,7.89887
68,193.995,33.5,11.2244
69,195.123,39,13.9469
70,196.251,38,13.4428
71,197.378,37,10.2957
72,198.505,31.5,7.14769
73,199.634,28.5,4.92987
74,200.761,29.5,3.49999
75,201.886,24.5,2.5747
76,203.013,25.5,1.95605
77,204.139,27,1.52926
78,205.266,29,1.2245
79,206.392,29,1.00084
80,207.516,29,0.832543
81,208.642,27.5,0.702602
82,209.766,29,0.600686
83,210.892,25,0.519105
84,212.016,24.5,0.453063
85,213.139,25.5,0.398836
86,214.263,27,0.353712
87,215.386,27.5,0.315839
88,216.511,22.5,0.283674
89,217.634,21.5,0.256224
90,218.755,30,0.232614
91,219.878,28.5,0.212093
92,221.001,28,0.194179
93,222.123,27.5,0.178464
94,223.245,29,0.164592
95,224.366,27,0.152296
96,225.488,28,0.141329
97,226.608,23,0.131532
98,227.73,24,0.122714
99,228.85,27,0.114778
100,229.969,29.5,0.107603
101,231.089,23.5,0.101085
102,232.209,29,0.0951505
